sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
This	O	This	O	True	 
paper	O	paper	O	True	 
uses	O	uses	O	True	 
a	O	a	O	True	 
nationally	O	nationally	O	True	 
representative	O	representative	O	True	 
household	O	household	O	True	 
pseudo	O	pseudo	O	True	 
-	O	-	O	True	 
panel	O	panel	O	True	 
dataset	O	dataset	O	True	 
for	O	for	O	True	 
Ghana	O	Ghana	O	True	 
		O			O	True	 
a	O	a	O	True	 
rain	O	rain	O	True	 
-	O	-	O	True	 
fed	O	fed	O	True	 
agriculture	O	agriculture	O	True	 
economy	O	economy	O	True	 
		O			O	True	 
to	O	to	O	True	 
investigate	O	investigate	O	True	 
whether	O	whether	O	True	 
there	O	there	O	True	 
is	O	is	O	True	 
a	O	a	O	True	 
positive	O	positive	O	True	 
relationship	O	relationship	O	True	 
between	O	between	O	True	 
rainfall	O	rainfall	O	True	 
-	O	-	O	True	 
driven	O	driven	O	True	 
agricultural	O	agricultural	O	True	 
income	O	income	O	True	 
and	O	and	O	True	 
household	O	household	O	True	 
per	O	per	O	True	 
capita	O	capita	O	True	 
expenditure	O	expenditure	O	True	 
.	O	.	O	True	 
By	O	By	O	True	 
using	O	using	O	True	 
the	O	the	O	True	 
Two	O	Two	O	True	 
Stage	O	Stage	O	True	 
Least	O	Least	O	True	 
Squares	O	Squares	O	True	 
Instrumental	O	Instrumental	O	True	 
Variable	O	Variable	O	True	 
(	O	(	O	True	 
2SLS	O	2SLS	O	True	 
-	O	-	O	True	 
IV	O	IV	O	True	 
)	O	)	O	True	 
estimator	O	estimator	O	True	 
		O			O	True	 
it	O	it	O	True	 
is	O	is	O	True	 
found	O	found	O	True	 
that	O	that	O	True	 
a	O	a	O	True	 
fall	O	fall	O	True	 
in	O	in	O	True	 
rainfall	variable	rainfall	variable	True	 
-	variable	-	variable	True	 
driven	variable	driven	variable	True	 
agricultural	variable	agricultural	variable	True	 
income	variable	income	variable	True	 
leads	O	leads	O	True	 
to	O	to	O	True	 
a	O	a	O	True	 
decrease	O	decrease	O	True	 
in	O	in	O	True	 
per	variable	per	variable	True	 
capita	variable	capita	variable	True	 
expenditure	variable	expenditure	variable	True	 
.	O	.	O	True	 
The	O	The	O	True	 
results	O	results	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
the	O	the	O	True	 
gender	O	gender	O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
locality	O	locality	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
household	O	household	O	True	 
head	O	head	O	True	 
matter	O	matter	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
response	O	response	O	True	 
of	O	of	O	True	 
per	O	per	O	True	 
capita	O	capita	O	True	 
expenditures	O	expenditures	O	True	 
to	O	to	O	True	 
rainfall	O	rainfall	O	True	 
-	O	-	O	True	 
driven	O	driven	O	True	 
agricultural	O	agricultural	O	True	 
income	O	income	O	True	 
.	O	.	O	True	 
Female	O	Female	O	True	 
-	O	-	O	True	 
headed	O	headed	O	True	 
and	O	and	O	True	 
rural	O	rural	O	True	 
households	O	households	O	True	 
are	O	are	O	True	 
more	O	more	O	True	 
vulnerable	O	vulnerable	O	True	 
to	O	to	O	True	 
rainfall	O	rainfall	O	True	 
-	O	-	O	True	 
driven	O	driven	O	True	 
agricultural	O	agricultural	O	True	 
income	O	income	O	True	 
changes	O	changes	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
expenditure	O	expenditure	O	True	 
disaggregation	O	disaggregation	O	True	 
indicates	O	indicates	O	True	 
that	O	that	O	True	 
female	O	female	O	True	 
-	O	-	O	True	 
headed	O	headed	O	True	 
households	O	households	O	True	 
significantly	O	significantly	O	True	 
reduce	O	reduce	O	True	 
per	variable	per	O	False	 
capita	variable	capita	O	False	 
nonfood	variable	nonfood	O	False	 
expenditure	variable	expenditure	O	False	 
in	O	in	O	True	 
times	O	times	O	True	 
of	O	of	O	True	 
rainfall	variable	rainfall	O	False	 
-	variable	-	O	False	 
induced	variable	induced	O	False	 
agricultural	variable	agricultural	O	False	 
income	variable	income	O	False	 
decrease	O	decrease	O	True	 
whilst	O	whilst	O	True	 
the	O	the	O	True	 
response	O	response	O	True	 
of	O	of	O	True	 
male	O	male	O	True	 
-	O	-	O	True	 
headed	O	headed	O	True	 
households	O	households	O	True	 
focuses	O	focuses	O	True	 
more	O	more	O	True	 
on	O	on	O	True	 
reducing	O	reducing	O	True	 
per	variable	per	O	False	 
capita	variable	capita	O	False	 
food	variable	food	O	False	 
and	O	and	O	True	 
remittance	variable	remittance	O	False	 
expenditures	variable	expenditures	O	False	 
.	O	.	O	True	 
