sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
We	O	We	O	True	 
estimate	O	estimate	O	True	 
the	O	the	O	True	 
effects	O	effects	O	True	 
of	O	of	O	True	 
electricity	O	electricity	O	True	 
shortages	O	shortages	O	True	 
on	O	on	O	True	 
Indian	O	Indian	O	True	 
manufacturers	O	manufacturers	O	True	 
		O			O	True	 
instrumenting	O	instrumenting	O	True	 
with	O	with	O	True	 
supply	O	supply	O	True	 
shifts	O	shifts	O	True	 
from	O	from	O	True	 
hydroelectric	O	hydroelectric	O	True	 
power	O	power	O	True	 
availability	O	availability	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
estimate	O	estimate	O	True	 
that	O	that	O	True	 
India	O	India	O	True	 
's	O	's	O	True	 
average	O	average	variable	False	 
reported	variable	reported	variable	True	 
level	variable	level	variable	True	 
of	variable	of	variable	True	 
shortages	variable	shortages	variable	True	 
reduces	O	reduces	O	True	 
the	O	the	O	True	 
average	O	average	variable	False	 
plant	variable	plant	variable	True	 
's	variable	's	variable	True	 
revenues	variable	revenues	variable	True	 
and	O	and	variable	False	 
producer	variable	producer	variable	True	 
surplus	variable	surplus	variable	True	 
by	O	by	O	True	 
5	O	5	O	True	 
to	O	to	O	True	 
10	O	10	O	True	 
percent	O	percent	O	True	 
		O			O	True	 
but	O	but	O	True	 
average	O	average	O	True	 
productivity	O	productivity	O	True	 
losses	O	losses	O	True	 
are	O	are	O	True	 
significantly	O	significantly	O	True	 
smaller	O	smaller	O	True	 
because	O	because	O	True	 
most	O	most	O	True	 
inputs	O	inputs	O	True	 
can	O	can	O	True	 
be	O	be	O	True	 
stored	O	stored	O	True	 
during	O	during	O	True	 
outages	O	outages	O	True	 
.	O	.	O	True	 
Shortages	O	Shortages	O	True	 
distort	O	distort	O	True	 
the	O	the	O	True	 
plant	O	plant	O	True	 
size	O	size	O	True	 
distribution	O	distribution	O	True	 
		O			O	True	 
as	O	as	O	True	 
there	O	there	O	True	 
are	O	are	O	True	 
significant	O	significant	O	True	 
economies	O	economies	O	True	 
of	O	of	O	True	 
scale	O	scale	O	True	 
in	O	in	O	True	 
generator	O	generator	O	True	 
costs	O	costs	O	True	 
and	O	and	O	True	 
shortages	O	shortages	O	True	 
more	O	more	O	True	 
severely	O	severely	O	True	 
affect	O	affect	O	True	 
plants	O	plants	O	True	 
without	O	without	O	True	 
generators	O	generators	O	True	 
.	O	.	O	True	 
Simulations	O	Simulations	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
offering	O	offering	O	True	 
interruptible	variable	interruptible	O	False	 
retail	variable	retail	O	False	 
electricity	variable	electricity	O	False	 
contracts	variable	contracts	O	False	 
could	O	could	O	True	 
substantially	O	substantially	O	True	 
reduce	O	reduce	O	True	 
the	O	the	O	True	 
impacts	variable	impacts	O	False	 
of	variable	of	O	False	 
shortages	variable	shortages	O	False	 
.	O	.	O	True	 
