sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
In	O	In	O	True	 
markets	O	markets	O	True	 
where	O	where	O	True	 
prices	O	prices	O	True	 
are	O	are	O	True	 
determined	O	determined	O	True	 
by	O	by	O	True	 
the	O	the	O	True	 
intersection	O	intersection	O	True	 
of	O	of	O	True	 
supply	O	supply	O	True	 
and	O	and	O	True	 
demand	O	demand	O	True	 
curves	O	curves	O	True	 
		O			O	True	 
standard	O	standard	O	True	 
identification	O	identification	O	True	 
results	O	results	O	True	 
require	O	require	O	True	 
the	O	the	O	True	 
presence	O	presence	O	True	 
of	O	of	O	True	 
instruments	O	instruments	O	True	 
that	O	that	O	True	 
shift	O	shift	O	True	 
one	O	one	O	True	 
curve	O	curve	O	True	 
but	O	but	O	True	 
not	O	not	O	True	 
the	O	the	O	True	 
other	O	other	O	True	 
.	O	.	O	True	 
These	O	These	O	True	 
results	O	results	O	True	 
are	O	are	O	True	 
typically	O	typically	O	True	 
presented	O	presented	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
context	O	context	O	True	 
of	O	of	O	True	 
linear	O	linear	O	True	 
models	O	models	O	True	 
with	O	with	O	True	 
fixed	O	fixed	O	True	 
coefficients	O	coefficients	O	True	 
and	O	and	O	True	 
additive	O	additive	O	True	 
residuals	O	residuals	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
first	O	first	O	True	 
contribution	O	contribution	O	True	 
of	O	of	O	True	 
this	O	this	O	True	 
paper	O	paper	O	True	 
is	O	is	O	True	 
an	O	an	O	True	 
investigation	O	investigation	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
consequences	O	consequences	O	True	 
of	O	of	O	True	 
relaxing	O	relaxing	O	True	 
both	O	both	O	True	 
the	O	the	O	True	 
linearity	O	linearity	O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
additivity	O	additivity	O	True	 
assumption	O	assumption	O	True	 
for	O	for	O	True	 
the	O	the	O	True	 
interpretation	O	interpretation	O	True	 
of	O	of	O	True	 
linear	O	linear	O	True	 
instrumental	O	instrumental	O	True	 
variables	O	variables	O	True	 
estimators	O	estimators	O	True	 
.	O	.	O	True	 
Without	O	Without	O	True	 
these	O	these	O	True	 
assumptions	instrument	assumptions	O	False	 
		O			O	True	 
the	O	the	O	True	 
standard	O	standard	O	True	 
linear	O	linear	O	True	 
instrumental	O	instrumental	O	True	 
variables	O	variables	O	True	 
estimator	O	estimator	O	True	 
identifies	O	identifies	O	True	 
a	O	a	O	True	 
weighted	O	weighted	O	True	 
average	O	average	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
derivative	O	derivative	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
behavioural	O	behavioural	O	True	 
relationship	O	relationship	O	True	 
of	O	of	O	True	 
interest	O	interest	O	True	 
.	O	.	O	True	 
A	O	A	O	True	 
second	O	second	O	True	 
contribution	O	contribution	O	True	 
is	O	is	O	True	 
the	O	the	O	True	 
formulation	O	formulation	O	True	 
of	O	of	O	True	 
critical	O	critical	O	True	 
identifying	O	identifying	O	True	 
assumptions	O	assumptions	O	True	 
in	O	in	O	True	 
terms	O	terms	O	True	 
of	O	of	O	True	 
demand	O	demand	O	True	 
and	O	and	O	True	 
supply	O	supply	O	True	 
at	O	at	O	True	 
different	O	different	O	True	 
prices	O	prices	O	True	 
and	O	and	O	True	 
instruments	O	instruments	O	True	 
		O			O	True	 
rather	O	rather	O	True	 
than	O	than	O	True	 
in	O	in	O	True	 
terms	O	terms	O	True	 
of	O	of	O	True	 
functional	O	functional	O	True	 
-	O	-	O	True	 
form	O	form	O	True	 
specific	O	specific	O	True	 
residuals	O	residuals	O	True	 
.	O	.	O	True	 
Our	O	Our	O	True	 
approach	O	approach	O	True	 
to	O	to	O	True	 
the	O	the	O	True	 
simultaneous	O	simultaneous	O	True	 
equations	O	equations	O	True	 
problem	O	problem	O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
average	O	average	O	True	 
-	O	-	O	True	 
derivative	O	derivative	O	True	 
interpretation	O	interpretation	O	True	 
of	O	of	O	True	 
instrumental	O	instrumental	O	True	 
variables	O	variables	O	True	 
estimates	O	estimates	O	True	 
is	O	is	O	True	 
illustrated	O	illustrated	O	True	 
by	O	by	O	True	 
estimating	O	estimating	O	True	 
the	O	the	O	True	 
demand	O	demand	O	True	 
for	O	for	O	True	 
fresh	O	fresh	O	True	 
whiting	O	whiting	O	True	 
at	O	at	O	True	 
the	O	the	O	True	 
Fulton	O	Fulton	O	True	 
fish	O	fish	O	True	 
market	O	market	O	True	 
.	O	.	O	True	 
Strong	O	Strong	O	True	 
and	O	and	O	True	 
credible	O	credible	O	True	 
instruments	O	instruments	O	True	 
for	O	for	O	True	 
identification	O	identification	O	True	 
of	O	of	O	True	 
this	O	this	O	True	 
demand	O	demand	O	True	 
function	O	function	O	True	 
are	O	are	O	True	 
available	O	available	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
form	O	form	O	True	 
of	O	of	O	True	 
weather	O	weather	O	True	 
conditions	O	conditions	O	True	 
at	O	at	O	True	 
sea	O	sea	O	True	 
.	O	.	O	True	 
