sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
We	O	We	O	True	 
use	O	use	O	True	 
annual	O	annual	O	True	 
variations	O	variations	O	True	 
in	O	in	O	True	 
rainfall	O	rainfall	O	True	 
to	O	to	O	True	 
examine	O	examine	O	True	 
the	O	the	O	True	 
effects	O	effects	O	True	 
that	O	that	O	True	 
exogenous	O	exogenous	O	True	 
		O			O	True	 
transitory	O	transitory	O	True	 
income	O	income	O	True	 
shocks	O	shocks	O	True	 
have	O	have	O	True	 
on	O	on	O	True	 
remittances	O	remittances	O	True	 
in	O	in	O	True	 
a	O	a	O	True	 
panel	O	panel	O	True	 
of	O	of	O	True	 
41	O	41	O	True	 
Sub	O	Sub	O	True	 
-	O	-	O	True	 
Saharan	O	Saharan	O	True	 
African	O	African	O	True	 
countries	O	countries	O	True	 
during	O	during	O	True	 
the	O	the	O	True	 
period	O	period	O	True	 
1970	O	1970	O	True	 
-	O	-	O	True	 
2007	O	2007	O	True	 
.	O	.	O	True	 
Our	O	Our	O	True	 
main	O	main	O	True	 
finding	O	finding	O	True	 
is	O	is	O	True	 
that	O	that	O	True	 
on	O	on	O	True	 
average	O	average	O	True	 
rainfall	O	rainfall	O	True	 
shocks	O	shocks	O	True	 
have	O	have	O	True	 
an	O	an	O	True	 
insignificant	O	insignificant	O	True	 
contemporaneous	O	contemporaneous	O	True	 
effect	O	effect	O	True	 
on	O	on	O	True	 
remittances	O	remittances	O	True	 
.	O	.	O	True	 
However	O	However	O	True	 
		O			O	True	 
the	O	the	O	True	 
marginal	O	marginal	O	True	 
effect	O	effect	O	True	 
is	O	is	O	True	 
significantly	O	significantly	O	True	 
decreasing	O	decreasing	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
share	O	share	O	True	 
of	O	of	O	True	 
domestic	O	domestic	O	True	 
credit	O	credit	O	True	 
to	O	to	O	True	 
GDP	O	GDP	O	True	 
.	O	.	O	True	 
So	O	So	O	True	 
much	O	much	O	True	 
so	O	so	O	True	 
		O			O	True	 
that	O	that	O	True	 
at	O	at	O	True	 
high	O	high	O	True	 
levels	O	levels	O	True	 
of	O	of	O	True	 
credit	O	credit	O	True	 
to	O	to	O	True	 
GDP	O	GDP	O	True	 
rainfall	variable	rainfall	O	False	 
shocks	variable	shocks	O	False	 
have	O	have	O	True	 
a	O	a	O	True	 
significant	O	significant	O	True	 
negative	O	negative	O	True	 
effect	O	effect	O	True	 
on	O	on	O	True	 
remittances	variable	remittances	O	False	 
		O			O	True	 
while	O	while	O	True	 
at	O	at	O	True	 
low	O	low	O	True	 
levels	O	levels	O	True	 
of	O	of	O	True	 
credit	O	credit	O	True	 
to	O	to	O	True	 
GDP	O	GDP	O	True	 
the	O	the	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
rainfall	O	rainfall	O	True	 
on	O	on	O	True	 
remittances	O	remittances	O	True	 
is	O	is	O	True	 
significantly	O	significantly	O	True	 
positive	O	positive	O	True	 
.	O	.	O	True	 
