sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
This	O	This	O	True	 
paper	O	paper	O	True	 
uses	O	uses	O	True	 
detailed	O	detailed	O	True	 
data	O	data	O	True	 
on	O	on	O	True	 
election	O	election	O	True	 
day	O	day	O	True	 
rainfall	O	rainfall	O	True	 
from	O	from	O	True	 
more	O	more	O	True	 
than	O	than	O	True	 
3000	O	3000	O	True	 
weather	O	weather	O	True	 
stations	O	stations	O	True	 
as	O	as	O	True	 
an	O	an	O	True	 
instrument	O	instrument	O	True	 
to	O	to	O	True	 
estimate	O	estimate	O	True	 
the	O	the	O	True	 
causal	O	causal	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
turnout	O	turnout	O	True	 
on	O	on	O	True	 
electoral	O	electoral	O	True	 
results	O	results	O	True	 
in	O	in	O	True	 
Spanish	O	Spanish	O	True	 
General	O	General	O	True	 
Elections	O	Elections	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
first	O	first	O	True	 
stage	O	stage	O	True	 
results	O	results	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
rainfall	O	rainfall	variable	False	 
on	O	on	variable	False	 
election	O	election	variable	False	 
day	O	day	variable	False	 
decreases	O	decreases	O	True	 
turnout	O	turnout	variable	False	 
.	O	.	O	True	 
Second	O	Second	O	True	 
stage	O	stage	O	True	 
results	O	results	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
conservatives	O	conservatives	O	True	 
are	O	are	O	True	 
greatly	O	greatly	O	True	 
hurt	O	hurt	O	True	 
by	O	by	O	True	 
higher	O	higher	O	True	 
turnout	O	turnout	O	True	 
.	O	.	O	True	 
Surprisingly	O	Surprisingly	O	True	 
		O			O	True	 
I	O	I	O	True	 
find	O	find	O	True	 
that	O	that	O	True	 
the	O	the	O	True	 
main	O	main	O	True	 
leftwing	O	leftwing	O	True	 
party	O	party	O	True	 
is	O	is	O	True	 
not	O	not	O	True	 
the	O	the	O	True	 
beneficiary	O	beneficiary	O	True	 
of	O	of	O	True	 
higher	O	higher	O	True	 
turnout	O	turnout	O	True	 
		O			O	True	 
but	O	but	O	True	 
rather	O	rather	O	True	 
other	O	other	O	True	 
smaller	O	smaller	O	True	 
parties	O	parties	O	True	 
.	O	.	O	True	 
In	O	In	O	True	 
both	O	both	O	True	 
stages	O	stages	O	True	 
		O			O	True	 
I	O	I	O	True	 
control	O	control	O	True	 
for	O	for	O	True	 
local	O	local	O	True	 
economic	O	economic	O	True	 
conditions	O	conditions	O	True	 
and	O	and	O	True	 
find	O	find	O	True	 
that	O	that	O	True	 
higher	O	higher	O	True	 
unemployment	variable	unemployment	variable	True	 
increases	O	increases	O	True	 
turnout	variable	turnout	variable	True	 
		O			O	True	 
and	O	and	O	True	 
that	O	that	O	True	 
increases	O	increases	O	True	 
in	O	in	O	True	 
unemployment	O	unemployment	O	True	 
benefit	O	benefit	O	True	 
the	O	the	O	True	 
conservative	O	conservative	O	True	 
party	O	party	O	True	 
at	O	at	O	True	 
the	O	the	O	True	 
expense	O	expense	O	True	 
of	O	of	O	True	 
leftwing	O	leftwing	O	True	 
parties	O	parties	O	True	 
.	O	.	O	True	 
In	O	In	O	True	 
combination	O	combination	O	True	 
		O			O	True	 
the	O	the	O	True	 
results	O	results	O	True	 
point	O	point	O	True	 
to	O	to	O	True	 
turnout	O	turnout	O	True	 
having	O	having	O	True	 
two	O	two	O	True	 
components	O	components	O	True	 
		O			O	True	 
a	O	a	O	True	 
more	O	more	O	True	 
volatile	O	volatile	O	True	 
one	O	one	O	True	 
		O			O	True	 
which	O	which	O	True	 
is	O	is	O	True	 
affected	O	affected	O	True	 
by	O	by	O	True	 
weather	O	weather	O	True	 
		O			O	True	 
and	O	and	O	True	 
a	O	a	O	True	 
more	O	more	O	True	 
structural	O	structural	O	True	 
one	O	one	O	True	 
		O			O	True	 
which	O	which	O	True	 
depends	O	depends	O	True	 
on	O	on	O	True	 
economic	O	economic	O	True	 
conditions	O	conditions	O	True	 
such	O	such	O	True	 
as	O	as	O	True	 
unemployment	O	unemployment	O	True	 
.	O	.	O	True	 
