sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
We	O	We	O	True	 
estimate	O	estimate	O	True	 
the	O	the	O	True	 
impact	O	impact	O	True	 
of	O	of	O	True	 
internal	O	internal	O	True	 
migration	O	migration	O	True	 
on	O	on	O	True	 
local	O	local	O	True	 
labour	O	labour	O	True	 
markets	O	markets	O	True	 
in	O	in	O	True	 
Thailand	O	Thailand	O	True	 
.	O	.	O	True	 
Using	O	Using	O	True	 
an	O	an	O	True	 
instrumental	O	instrumental	O	True	 
variable	O	variable	O	True	 
estimation	O	estimation	O	True	 
to	O	to	O	True	 
control	O	control	O	True	 
for	O	for	O	True	 
the	O	the	O	True	 
endogeneity	O	endogeneity	O	True	 
of	O	of	O	True	 
migration	O	migration	O	True	 
we	O	we	O	True	 
then	O	then	O	True	 
investigate	O	investigate	O	True	 
how	O	how	O	True	 
migration	O	migration	O	True	 
affects	O	affects	O	True	 
various	O	various	O	True	 
aspects	O	aspects	O	True	 
of	O	of	O	True	 
local	O	local	O	True	 
labour	O	labour	O	True	 
markets	O	markets	O	True	 
.	O	.	O	True	 
Our	O	Our	O	True	 
results	O	results	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
there	O	there	O	True	 
appears	O	appears	O	True	 
to	O	to	O	True	 
be	O	be	O	True	 
a	O	a	O	True	 
positive	O	positive	O	True	 
effect	O	effect	O	True	 
on	O	on	O	True	 
male	O	male	O	True	 
earnings	O	earnings	O	True	 
		O			O	True	 
although	O	although	O	True	 
only	O	only	O	True	 
if	O	if	O	True	 
these	O	these	O	True	 
are	O	are	O	True	 
measured	O	measured	O	True	 
in	O	in	O	True	 
weekly	O	weekly	O	True	 
terms	O	terms	O	True	 
.	O	.	variable	False	 
Net	variable	Net	variable	True	 
inward	variable	inward	variable	True	 
migration	variable	migration	variable	True	 
		O			O	True	 
in	O	in	O	True	 
contrast	O	contrast	O	True	 
		O			O	True	 
has	O	has	O	True	 
strong	O	strong	O	True	 
negative	O	negative	O	True	 
effects	O	effects	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
female	variable	female	variable	True	 
labour	variable	labour	variable	True	 
market	variable	market	variable	True	 
.	O	.	O	True	 
More	O	More	O	True	 
specifically	O	specifically	O	True	 
		O			O	True	 
we	O	we	O	True	 
find	O	find	O	True	 
that	O	that	O	True	 
not	O	not	O	True	 
only	O	only	O	True	 
does	O	does	O	True	 
it	O	it	O	True	 
unequivocally	O	unequivocally	O	True	 
reduce	O	reduce	O	True	 
women	O	women	O	True	 
's	O	's	O	True	 
earnings	O	earnings	O	True	 
		O			O	True	 
but	O	but	O	True	 
also	O	also	O	True	 
reduces	O	reduces	O	True	 
the	O	the	O	True	 
number	O	number	O	True	 
of	O	of	O	True	 
hours	O	hours	O	True	 
they	O	they	O	True	 
work	O	work	O	True	 
.	O	.	O	True	 
