sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
By	O	By	O	True	 
providing	O	providing	O	True	 
more	O	more	O	True	 
public	O	public	O	True	 
goods	O	goods	O	True	 
(	O	(	O	True	 
irrigation	O	irrigation	O	True	 
)	O	)	O	True	 
		O			O	True	 
collective	O	collective	O	True	 
agriculture	O	agriculture	O	True	 
can	O	can	O	True	 
deal	O	deal	O	True	 
with	O	with	O	True	 
negative	O	negative	O	True	 
weather	O	weather	O	True	 
shocks	O	shocks	O	True	 
more	O	more	O	True	 
effectively	O	effectively	O	True	 
.	O	.	O	True	 
Yet	O	Yet	O	True	 
		O			O	True	 
collective	O	collective	O	True	 
institutions	O	institutions	O	True	 
are	O	are	O	True	 
fraught	O	fraught	O	True	 
with	O	with	O	True	 
problems	O	problems	O	True	 
of	O	of	O	True	 
work	O	work	O	True	 
incentives	O	incentives	O	True	 
		O			O	True	 
excessive	O	excessive	O	True	 
grain	O	grain	O	True	 
procurement	O	procurement	O	True	 
		O			O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
like	O	like	O	True	 
		O			O	True	 
which	O	which	O	True	 
in	O	in	O	True	 
one	O	one	O	True	 
extreme	O	extreme	O	True	 
historical	O	historical	O	True	 
instance	O	instance	O	True	 
had	O	had	O	True	 
resulted	O	resulted	O	True	 
in	O	in	O	True	 
great	O	great	O	True	 
tragedy	O	tragedy	O	True	 
-	O	-	O	True	 
China	O	China	O	True	 
's	O	's	O	True	 
Great	O	Great	O	True	 
Leap	O	Leap	O	True	 
Famine	O	Famine	O	True	 
.	O	.	O	True	 
By	O	By	O	True	 
exploiting	O	exploiting	O	True	 
the	O	the	O	True	 
variation	O	variation	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
pace	O	pace	O	True	 
of	O	of	O	True	 
agricultural	O	agricultural	O	True	 
decollectivization	O	decollectivization	O	True	 
among	O	among	O	True	 
the	O	the	O	True	 
Chinese	O	Chinese	O	True	 
provinces	O	provinces	O	True	 
during	O	during	O	True	 
1978	O	1978	O	True	 
-	O	-	O	True	 
1984	O	1984	O	True	 
		O			O	True	 
we	O	we	O	True	 
test	O	test	O	True	 
the	O	the	O	True	 
respective	O	respective	O	True	 
effects	O	effects	O	True	 
of	O	of	O	True	 
weather	O	weather	O	True	 
shocks	O	shocks	O	True	 
		O			O	True	 
the	O	the	O	True	 
lasting	O	lasting	O	True	 
impact	O	impact	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
Great	O	Great	O	True	 
Leap	O	Leap	O	True	 
Famine	O	Famine	O	True	 
		O			O	True	 
and	O	and	O	True	 
public	O	public	O	True	 
goods	O	goods	O	True	 
provision	O	provision	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
villages	O	villages	O	True	 
'	O	'	O	True	 
institutional	O	institutional	O	True	 
choice	O	choice	O	True	 
between	O	between	O	True	 
collective	O	collective	O	True	 
and	O	and	O	True	 
family	O	family	O	True	 
farming	O	farming	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
find	O	find	O	True	 
that	O	that	O	True	 
bad	O	bad	O	True	 
weather	variable	weather	O	False	 
at	O	at	O	True	 
the	O	the	O	True	 
time	O	time	O	True	 
of	O	of	O	True	 
decollectivization	O	decollectivization	O	True	 
had	O	had	O	True	 
the	O	the	O	True	 
likely	O	likely	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
strengthening	O	strengthening	O	True	 
the	O	the	O	True	 
collectives	variable	collectives	O	False	 
		O			O	True	 
but	O	but	O	True	 
that	O	that	O	True	 
effect	O	effect	O	True	 
reverses	O	reverses	O	True	 
in	O	in	O	True	 
provinces	O	provinces	O	True	 
that	O	that	O	True	 
had	O	had	O	True	 
experienced	O	experienced	O	True	 
greater	O	greater	O	True	 
famine	O	famine	O	True	 
severity	O	severity	O	True	 
or	O	or	O	True	 
had	O	had	O	True	 
enjoyed	O	enjoyed	O	True	 
better	O	better	O	True	 
public	O	public	O	True	 
goods	O	goods	O	True	 
provision	O	provision	O	True	 
.	O	.	O	True	 
