sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
Theoretical	O	Theoretical	O	True	 
and	O	and	O	True	 
empirical	O	empirical	O	True	 
studies	O	studies	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
inclement	O	inclement	O	True	 
weather	O	weather	O	True	 
on	O	on	O	True	 
an	O	an	O	True	 
election	O	election	O	True	 
day	O	day	O	True	 
reduces	O	reduces	O	True	 
turnout	O	turnout	O	True	 
		O			O	True	 
potentially	O	potentially	O	True	 
swinging	O	swinging	O	True	 
the	O	the	O	True	 
results	O	results	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
election	O	election	O	True	 
.	O	.	O	True	 
Psychology	O	Psychology	O	True	 
studies	O	studies	O	True	 
		O			O	True	 
however	O	however	O	True	 
		O			O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
weather	O	weather	O	True	 
affects	O	affects	O	True	 
individual	O	individual	O	True	 
mood	O	mood	O	True	 
		O			O	True	 
which	O	which	O	True	 
-in	O	-in	O	True	 
turnaffects	O	turnaffects	O	True	 
individual	O	individual	O	True	 
decision	O	decision	O	True	 
-	O	-	O	True	 
making	O	making	O	True	 
activity	O	activity	O	True	 
potentially	O	potentially	O	True	 
beyond	O	beyond	O	True	 
the	O	the	O	True	 
simple	O	simple	O	True	 
decision	O	decision	O	True	 
to	O	to	O	True	 
turn	O	turn	O	True	 
out	O	out	O	True	 
on	O	on	O	True	 
an	O	an	O	True	 
election	O	election	O	True	 
day	O	day	O	True	 
.	O	.	O	True	 
This	O	This	O	True	 
paper	O	paper	O	True	 
evaluates	O	evaluates	O	True	 
the	O	the	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
weather	O	weather	O	True	 
		O			O	True	 
through	O	through	O	True	 
its	O	its	O	True	 
effect	O	effect	O	True	 
on	O	on	O	True	 
mood	O	mood	O	True	 
		O			O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
way	O	way	O	True	 
in	O	in	O	True	 
which	O	which	O	True	 
voters	O	voters	O	True	 
who	O	who	O	True	 
do	O	do	O	True	 
turn	O	turn	O	True	 
out	O	out	O	True	 
decide	O	decide	O	True	 
to	O	to	O	True	 
cast	O	cast	O	True	 
their	O	their	O	True	 
votes	O	votes	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
paper	O	paper	O	True	 
provides	O	provides	O	True	 
experimental	O	experimental	O	True	 
evidence	O	evidence	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
weather	O	weather	O	True	 
on	O	on	O	True	 
voting	O	voting	O	True	 
when	O	when	O	True	 
candidates	O	candidates	O	True	 
are	O	are	O	True	 
perceived	O	perceived	O	True	 
as	O	as	O	True	 
being	O	being	O	True	 
more	O	more	O	True	 
or	O	or	O	True	 
less	O	less	O	True	 
risky	O	risky	O	True	 
.	O	.	O	True	 
Findings	O	Findings	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
		O			O	True	 
after	O	after	O	True	 
controlling	O	controlling	O	True	 
for	O	for	O	True	 
policy	O	policy	O	True	 
preferences	O	preferences	O	True	 
		O			O	True	 
partisanship	O	partisanship	O	True	 
		O			O	True	 
and	O	and	O	True	 
other	O	other	O	True	 
background	O	background	O	True	 
variables	O	variables	O	True	 
		O			O	True	 
bad	O	bad	variable	False	 
weather	variable	weather	variable	True	 
depresses	O	depresses	O	True	 
individual	variable	individual	variable	True	 
mood	variable	mood	variable	True	 
and	O	and	O	True	 
risk	variable	risk	variable	True	 
tolerance	variable	tolerance	variable	True	 
		O			O	True	 
i.e	O	i.e	O	True	 
..	O	..	O	True	 
voters	O	voters	O	True	 
are	O	are	O	True	 
more	O	more	O	True	 
likely	O	likely	O	True	 
to	O	to	O	True	 
vote	O	vote	O	True	 
for	O	for	O	True	 
the	O	the	O	True	 
candidate	O	candidate	O	True	 
who	O	who	O	True	 
is	O	is	O	True	 
perceived	O	perceived	O	True	 
to	O	to	O	True	 
be	O	be	O	True	 
less	O	less	O	True	 
risky	O	risky	O	True	 
.	O	.	O	True	 
This	O	This	O	True	 
effect	O	effect	O	True	 
is	O	is	O	True	 
present	O	present	O	True	 
whether	O	whether	O	True	 
meteorological	O	meteorological	O	True	 
conditions	O	conditions	O	True	 
are	O	are	O	True	 
measured	O	measured	O	True	 
with	O	with	O	True	 
objective	O	objective	O	True	 
or	O	or	O	True	 
subjective	O	subjective	O	True	 
measures	O	measures	O	True	 
.	O	.	O	True	 
