sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
Does	O	Does	O	True	 
the	O	the	O	True	 
experience	O	experience	O	True	 
of	O	of	O	True	 
crime	O	crime	O	True	 
lead	O	lead	O	True	 
to	O	to	O	True	 
individual	O	individual	O	True	 
disenchantment	O	disenchantment	O	True	 
from	O	from	O	True	 
politics	O	politics	O	True	 
or	O	or	O	True	 
can	O	can	O	True	 
it	O	it	O	True	 
even	O	even	O	True	 
stir	O	stir	O	True	 
political	O	political	O	True	 
activism	O	activism	O	True	 
?	O	?	O	True	 
We	O	We	O	True	 
study	O	study	O	True	 
how	O	how	O	True	 
crime	O	crime	O	True	 
victimization	O	victimization	O	True	 
affects	O	affects	O	True	 
the	O	the	O	True	 
intention	O	intention	O	True	 
to	O	to	O	True	 
vote	O	vote	O	True	 
with	O	with	O	True	 
survey	O	survey	O	True	 
data	O	data	O	True	 
from	O	from	O	True	 
Latin	O	Latin	O	True	 
America	O	America	O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
Caribbean	O	Caribbean	O	True	 
.	O	.	O	True	 
Research	O	Research	O	True	 
on	O	on	O	True	 
non	O	non	O	True	 
-	O	-	O	True	 
electoral	O	electoral	O	True	 
political	O	political	O	True	 
behavior	O	behavior	O	True	 
reveals	O	reveals	O	True	 
that	O	that	O	True	 
crime	O	crime	O	True	 
victims	O	victims	O	True	 
become	O	become	O	True	 
politically	O	politically	O	True	 
more	O	more	O	True	 
engaged	O	engaged	O	True	 
.	O	.	O	True	 
In	O	In	O	True	 
contrast	O	contrast	O	True	 
		O			O	True	 
findings	O	findings	O	True	 
from	O	from	O	True	 
psychological	O	psychological	O	True	 
research	O	research	O	True	 
suggest	O	suggest	O	True	 
that	O	that	O	True	 
victimization	O	victimization	O	True	 
increases	O	increases	O	True	 
apathy	O	apathy	O	True	 
due	O	due	O	True	 
to	O	to	O	True	 
loss	O	loss	O	True	 
of	O	of	O	True	 
self	O	self	O	True	 
-	O	-	O	True	 
esteem	O	esteem	O	True	 
and	O	and	O	True	 
social	O	social	O	True	 
cohesion	O	cohesion	O	True	 
.	O	.	O	True	 
Building	O	Building	O	True	 
a	O	a	O	True	 
cognitive	O	cognitive	O	True	 
foundation	O	foundation	O	True	 
of	O	of	O	True	 
political	O	political	O	True	 
activism	O	activism	O	True	 
		O			O	True	 
we	O	we	O	True	 
propose	O	propose	O	True	 
that	O	that	O	True	 
it	O	it	O	True	 
is	O	is	O	True	 
the	O	the	O	True	 
level	O	level	O	True	 
of	O	of	O	True	 
distress	variable	distress	O	False	 
which	O	which	O	True	 
increases	O	increases	O	True	 
-	O	-	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
case	O	case	O	True	 
of	O	of	O	True	 
non	O	non	O	True	 
-	O	-	O	True	 
violent	O	violent	O	True	 
crime	O	crime	O	True	 
-	O	-	O	True	 
or	O	or	O	True	 
decreases	O	decreases	O	True	 
-	O	-	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
case	O	case	O	True	 
of	O	of	O	True	 
violent	O	violent	O	True	 
crime	O	crime	O	True	 
experience	O	experience	O	True	 
-	O	-	O	True	 
the	O	the	O	True	 
likelihood	O	likelihood	O	True	 
of	O	of	O	True	 
voting	variable	voting	O	False	 
.	O	.	O	True	 
The	O	The	O	True	 
results	O	results	O	True	 
support	O	support	O	True	 
the	O	the	O	True	 
hypothesis	O	hypothesis	O	True	 
on	O	on	O	True	 
victims	O	victims	O	True	 
of	O	of	O	True	 
non	O	non	O	True	 
-	O	-	O	True	 
violent	O	violent	O	True	 
crime	O	crime	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
probability	O	probability	O	True	 
of	O	of	O	True	 
turnout	O	turnout	O	True	 
does	O	does	O	True	 
		O			O	True	 
however	O	however	O	True	 
		O			O	True	 
not	O	not	O	True	 
change	O	change	O	True	 
for	O	for	O	True	 
victims	O	victims	O	True	 
of	O	of	O	True	 
criminal	O	criminal	O	True	 
violence	O	violence	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
subsequently	O	subsequently	O	True	 
test	O	test	O	True	 
for	O	for	O	True	 
a	O	a	O	True	 
possible	O	possible	O	True	 
anti	O	anti	O	True	 
-	O	-	O	True	 
right	O	right	O	True	 
-	O	-	O	True	 
wing	O	wing	O	True	 
incumbent	O	incumbent	O	True	 
effect	O	effect	O	True	 
		O			O	True	 
to	O	to	O	True	 
explain	O	explain	O	True	 
the	O	the	O	True	 
mobilization	O	mobilization	O	True	 
of	O	of	O	True	 
victims	O	victims	O	True	 
of	O	of	O	True	 
non	O	non	O	True	 
-	O	-	O	True	 
violent	O	violent	O	True	 
crime	O	crime	O	True	 
		O			O	True	 
but	O	but	O	True	 
only	O	only	O	True	 
find	O	find	O	True	 
evidence	O	evidence	O	True	 
for	O	for	O	True	 
an	O	an	O	True	 
anti	O	anti	O	True	 
-	O	-	O	True	 
center	O	center	O	True	 
incumbent	O	incumbent	O	True	 
tendency	O	tendency	O	True	 
.	O	.	O	True	 
