sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
Despite	O	Despite	O	True	 
the	O	the	O	True	 
worldwide	O	worldwide	O	True	 
decrease	O	decrease	O	True	 
in	O	in	O	True	 
fertility	O	fertility	O	True	 
rates	O	rates	O	True	 
		O			O	True	 
Sub	O	Sub	O	True	 
-	O	-	O	True	 
Saharan	O	Saharan	O	True	 
Africa	O	Africa	O	True	 
is	O	is	O	True	 
still	O	still	O	True	 
an	O	an	O	True	 
exception	O	exception	O	True	 
		O			O	True	 
showing	O	showing	O	True	 
an	O	an	O	True	 
almost	O	almost	O	True	 
non	O	non	O	True	 
-	O	-	O	True	 
declining	O	declining	O	True	 
trend	O	trend	O	True	 
over	O	over	O	True	 
the	O	the	O	True	 
past	O	past	O	True	 
50	O	50	O	True	 
years	O	years	O	True	 
.	O	.	O	True	 
In	O	In	O	True	 
a	O	a	O	True	 
high	O	high	O	True	 
child	O	child	O	True	 
mortality	O	mortality	O	True	 
context	O	context	O	True	 
parents	O	parents	O	True	 
might	O	might	O	True	 
prefer	O	prefer	O	True	 
a	O	a	O	True	 
larger	O	larger	O	True	 
number	O	number	O	True	 
of	O	of	O	True	 
children	O	children	O	True	 
		O			O	True	 
anticipating	O	anticipating	O	True	 
the	O	the	O	True	 
risk	O	risk	O	True	 
of	O	of	O	True	 
child	O	child	O	True	 
mortality	O	mortality	O	True	 
.	O	.	O	True	 
This	O	This	O	True	 
paper	O	paper	O	True	 
tests	O	tests	O	True	 
the	O	the	O	True	 
short	O	short	O	True	 
-	O	-	O	True	 
term	O	term	O	True	 
impact	O	impact	O	True	 
of	O	of	O	True	 
an	O	an	O	True	 
exogenous	O	exogenous	O	True	 
decrease	O	decrease	O	True	 
in	O	in	O	True	 
child	O	child	O	True	 
mortality	O	mortality	O	True	 
on	O	on	O	True	 
household	O	household	O	True	 
fertility	O	fertility	O	True	 
.	O	.	O	True	 
By	O	By	O	True	 
exploiting	O	exploiting	O	True	 
positive	O	positive	O	True	 
exogenous	O	exogenous	O	True	 
weather	O	weather	O	True	 
shocks	O	shocks	O	True	 
together	O	together	O	True	 
with	O	with	O	True	 
household	O	household	O	True	 
panel	O	panel	O	True	 
data	O	data	O	True	 
		O			O	True	 
I	O	I	O	True	 
find	O	find	O	True	 
that	O	that	O	True	 
abundant	O	abundant	variable	False	 
rainfall	variable	rainfall	variable	True	 
increases	O	increases	O	True	 
child	variable	child	variable	True	 
