sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
We	O	We	O	True	 
use	O	use	O	True	 
detailed	O	detailed	O	True	 
crime	O	crime	O	True	 
		O			O	True	 
agriculture	O	agriculture	O	True	 
		O			O	True	 
and	O	and	O	True	 
weather	O	weather	O	True	 
data	O	data	O	True	 
from	O	from	O	True	 
India	O	India	O	True	 
during	O	during	O	True	 
the	O	the	O	True	 
years	O	years	O	True	 
1971	O	1971	O	True	 
-	O	-	O	True	 
2000	O	2000	O	True	 
to	O	to	O	True	 
conduct	O	conduct	O	True	 
a	O	a	O	True	 
systematic	O	systematic	O	True	 
analysis	O	analysis	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
relationship	O	relationship	O	True	 
between	O	between	O	True	 
weather	O	weather	O	True	 
shocks	O	shocks	O	True	 
and	O	and	O	True	 
multiple	O	multiple	O	True	 
categories	O	categories	O	True	 
of	O	of	O	True	 
crime	O	crime	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
find	O	find	O	True	 
that	O	that	O	True	 
drought	variable	drought	variable	True	 
and	O	and	variable	False	 
heat	variable	heat	variable	True	 
exert	O	exert	O	True	 
a	O	a	O	True	 
strong	O	strong	O	True	 
impact	O	impact	O	True	 
on	O	on	O	True	 
virtually	O	virtually	O	True	 
all	O	all	variable	False	 
types	O	types	variable	False	 
of	O	of	variable	False	 
crimes	variable	crimes	variable	True	 
		O			O	True	 
that	O	that	O	True	 
the	O	the	O	True	 
impact	O	impact	O	True	 
on	O	on	O	True	 
property	O	property	O	True	 
crimes	O	crimes	O	True	 
is	O	is	O	True	 
larger	O	larger	O	True	 
than	O	than	O	True	 
for	O	for	O	True	 
violent	O	violent	O	True	 
crimes	O	crimes	O	True	 
		O			O	True	 
and	O	and	O	True	 
that	O	that	O	True	 
this	O	this	O	True	 
relationship	O	relationship	O	True	 
has	O	has	O	True	 
been	O	been	O	True	 
relatively	O	relatively	O	True	 
stable	O	stable	O	True	 
over	O	over	O	True	 
three	O	three	O	True	 
decades	O	decades	O	True	 
of	O	of	O	True	 
economic	O	economic	O	True	 
development	O	development	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
then	O	then	O	True	 
use	O	use	O	True	 
seasonal	O	seasonal	O	True	 
and	O	and	O	True	 
geographical	O	geographical	O	True	 
disaggregations	O	disaggregations	O	True	 
of	O	of	O	True	 
weather	O	weather	O	True	 
and	O	and	O	True	 
agricultural	O	agricultural	O	True	 
cultivation	O	cultivation	O	True	 
to	O	to	O	True	 
examine	O	examine	O	True	 
the	O	the	O	True	 
prevailing	O	prevailing	O	True	 
hypothesis	O	hypothesis	O	True	 
that	O	that	O	True	 
agricultural	O	agricultural	O	True	 
income	O	income	O	True	 
shocks	O	shocks	O	True	 
