sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
Many	O	Many	O	True	 
empirical	O	empirical	O	True	 
studies	O	studies	O	True	 
have	O	have	O	True	 
examined	O	examined	O	True	 
the	O	the	O	True	 
various	O	various	O	True	 
determinants	O	determinants	O	True	 
of	O	of	O	True	 
crime	O	crime	O	True	 
.	O	.	O	True	 
However	O	However	O	True	 
		O			O	True	 
the	O	the	O	True	 
link	O	link	O	True	 
between	O	between	O	True	 
crime	O	crime	O	True	 
and	O	and	O	True	 
air	O	air	O	True	 
pollution	O	pollution	O	True	 
has	O	has	O	True	 
been	O	been	O	True	 
largely	O	largely	O	True	 
overlooked	O	overlooked	O	True	 
.	O	.	O	True	 
In	O	In	O	True	 
this	O	this	O	True	 
paper	O	paper	O	True	 
we	O	we	O	True	 
study	O	study	O	True	 
whether	O	whether	O	True	 
exposure	O	exposure	O	True	 
to	O	to	O	True	 
ambient	O	ambient	O	True	 
air	O	air	O	True	 
pollution	O	pollution	O	True	 
affects	O	affects	O	True	 
crime	O	crime	O	True	 
using	O	using	O	True	 
daily	O	daily	O	True	 
administrative	O	administrative	O	True	 
data	O	data	O	True	 
for	O	for	O	True	 
London	O	London	O	True	 
in	O	in	O	True	 
2004	O	2004	O	True	 
-	O	-	O	True	 
5	O	5	O	True	 
.	O	.	O	True	 
For	O	For	O	True	 
identification	O	identification	O	True	 
		O			O	True	 
we	O	we	O	True	 
estimate	O	estimate	O	True	 
models	O	models	O	True	 
with	O	with	O	True	 
ward	O	ward	O	True	 
fixed	O	fixed	O	True	 
effects	O	effects	O	True	 
and	O	and	O	True	 
implement	O	implement	O	True	 
two	O	two	O	True	 
instrumental	O	instrumental	O	True	 
variable	O	variable	O	True	 
strategies	O	strategies	O	True	 
		O			O	True	 
using	O	using	O	True	 
atmospheric	O	atmospheric	O	True	 
inversions	O	inversions	O	True	 
and	O	and	O	True	 
wind	O	wind	O	True	 
direction	O	direction	O	True	 
as	O	as	O	True	 
exogenous	O	exogenous	O	True	 
shocks	O	shocks	O	True	 
to	O	to	O	True	 
local	O	local	O	True	 
pollution	O	pollution	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
find	O	find	O	True	 
that	O	that	O	True	 
air	variable	air	variable	True	 
pollution	variable	pollution	variable	True	 
has	O	has	O	True	 
a	O	a	O	True	 
positive	O	positive	O	True	 
and	O	and	O	True	 
statistically	O	statistically	O	True	 
significant	O	significant	O	True	 
impact	O	impact	O	True	 
on	O	on	O	True	 
overall	O	overall	variable	False	 
crime	variable	crime	variable	True	 
and	O	and	O	True	 
on	O	on	O	True	 
several	O	several	variable	False	 
major	O	major	variable	False	 
crime	O	crime	variable	False	 
categories	O	categories	variable	False	 
		O			variable	False	 
including	O	including	variable	False	 
those	O	those	variable	False	 
with	O	with	variable	False	 
economic	O	economic	variable	False	 
motives	O	motives	variable	False	 
.	O	.	O	True	 
Importantly	O	Importantly	O	True	 
		O			O	True	 
the	O	the	O	True	 
effect	O	effect	O	True	 
also	O	also	O	True	 
occurs	O	occurs	O	True	 
at	O	at	O	True	 
pollution	O	pollution	O	True	 
levels	O	levels	O	True	 
that	O	that	O	True	 
are	O	are	O	True	 
well	O	well	O	True	 
below	O	below	O	True	 
current	O	current	O	True	 
regulatory	O	regulatory	O	True	 
standards	O	standards	O	True	 
and	O	and	O	True	 
appears	O	appears	O	True	 
to	O	to	O	True	 
be	O	be	O	True	 
unevenly	O	unevenly	O	True	 
distributed	O	distributed	O	True	 
across	O	across	O	True	 
income	O	income	O	True	 
groups	O	groups	O	True	 
.	O	.	O	True	 
Our	O	Our	O	True	 
results	O	results	O	True	 
suggest	O	suggest	O	True	 
that	O	that	O	True	 
reducing	O	reducing	O	True	 
air	O	air	O	True	 
pollution	O	pollution	O	True	 
in	O	in	O	True	 
urban	O	urban	O	True	 
areas	O	areas	O	True	 
may	O	may	O	True	 
be	O	be	O	True	 
an	O	an	O	True	 
effective	O	effective	O	True	 
measure	O	measure	O	True	 
to	O	to	O	True	 
reduce	O	reduce	O	True	 
crime	O	crime	O	True	 
and	O	and	O	True	 
that	O	that	O	True	 
air	O	air	O	True	 
pollution	O	pollution	O	True	 
forecasts	O	forecasts	O	True	 
can	O	can	O	True	 
be	O	be	O	True	 
used	O	used	O	True	 
to	O	to	O	True	 
improve	O	improve	O	True	 
predictive	O	predictive	O	True	 
policing	O	policing	O	True	 
.	O	.	O	True	 
