sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
South	O	South	O	True	 
Africa	O	Africa	O	True	 
has	O	has	O	True	 
one	O	one	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
highest	O	highest	O	True	 
crime	O	crime	O	True	 
rates	O	rates	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
world	O	world	O	True	 
		O			O	True	 
incurring	O	incurring	O	True	 
high	O	high	O	True	 
cost	O	cost	O	True	 
for	O	for	O	True	 
society	O	society	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
present	O	present	O	True	 
paper	O	paper	O	True	 
examines	O	examines	O	True	 
the	O	the	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
weather	O	weather	O	True	 
shocks	O	shocks	O	True	 
on	O	on	O	True	 
various	O	various	O	True	 
types	O	types	O	True	 
of	O	of	O	True	 
crime	O	crime	O	True	 
.	O	.	O	True	 
Using	O	Using	O	True	 
a	O	a	O	True	 
12	O	12	O	True	 
-	O	-	O	True	 
year	O	year	O	True	 
panel	O	panel	O	True	 
data	O	data	O	True	 
set	O	set	O	True	 
at	O	at	O	True	 
monthly	O	monthly	O	True	 
resolution	O	resolution	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
police	O	police	O	True	 
ward	O	ward	O	True	 
level	O	level	O	True	 
		O			O	True	 
we	O	we	O	True	 
demonstrate	O	demonstrate	O	True	 
a	O	a	O	True	 
short	O	short	O	True	 
-	O	-	O	True	 
term	O	term	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
warmer	variable	warmer	variable	True	 
temperatures	variable	temperatures	variable	True	 
on	O	on	O	True	 
violent	O	violent	variable	False	 
crime	variable	crime	variable	True	 
and	O	and	O	True	 
thereby	O	thereby	O	True	 
offer	O	offer	O	True	 
support	O	support	O	True	 
for	O	for	O	True	 
the	O	the	O	True	 
heat	O	heat	O	True	 
-	O	-	O	True	 
aggression	O	aggression	O	True	 
link	O	link	O	True	 
as	O	as	O	True	 
suggested	O	suggested	O	True	 
by	O	by	O	True	 
psychological	O	psychological	O	True	 
research	O	research	O	True	 
.	O	.	O	True	 
Furthermore	O	Furthermore	O	True	 
		O			O	True	 
we	O	we	O	True	 
find	O	find	O	True	 
evidence	O	evidence	O	True	 
for	O	for	O	True	 
a	O	a	O	True	 
mid	O	mid	O	True	 
-	O	-	O	True	 
term	O	term	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
weather	variable	weather	variable	True	 
on	O	on	O	True	 
crime	variable	crime	variable	True	 
via	O	via	O	True	 
agricultural	O	agricultural	O	True	 
income	O	income	O	True	 
		O			O	True	 
which	O	which	O	True	 
is	O	is	O	True	 
in	O	in	O	True	 
line	O	line	O	True	 
with	O	with	O	True	 
the	O	the	O	True	 
economic	O	economic	O	True	 
theory	O	theory	O	True	 
of	O	of	O	True	 
crime	O	crime	O	True	 
.	O	.	O	True	 
Our	O	Our	O	True	 
findings	O	findings	O	True	 
have	O	have	O	True	 
direct	O	direct	O	True	 
policy	O	policy	O	True	 
implications	O	implications	O	True	 
for	O	for	O	True	 
the	O	the	O	True	 
design	O	design	O	True	 
of	O	of	O	True	 
crime	O	crime	O	True	 
prevention	O	prevention	O	True	 
strategies	O	strategies	O	True	 
		O			O	True	 
in	O	in	O	True	 
which	O	which	O	True	 
weather	O	weather	O	True	 
forecasts	O	forecasts	O	True	 
could	O	could	O	True	 
play	O	play	O	True	 
an	O	an	O	True	 
important	O	important	O	True	 
role	O	role	O	True	 
.	O	.	O	True	 
