sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
In	O	In	O	True	 
this	O	this	O	True	 
study	O	study	O	True	 
		O			O	True	 
we	O	we	O	True	 
propose	O	propose	O	True	 
and	O	and	O	True	 
test	O	test	O	True	 
a	O	a	O	True	 
mechanism	O	mechanism	O	True	 
for	O	for	O	True	 
the	O	the	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
neighborhood	O	neighborhood	O	True	 
of	O	of	O	True	 
residence	O	residence	O	True	 
on	O	on	O	True	 
school	O	school	O	True	 
outcomes	O	outcomes	O	True	 
:	O	:	O	True	 
absenteeism	O	absenteeism	O	True	 
that	O	that	O	True	 
results	O	results	O	True	 
from	O	from	O	True	 
exposure	O	exposure	O	True	 
to	O	to	O	True	 
danger	O	danger	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
way	O	way	O	True	 
to	O	to	O	True	 
school	O	school	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
first	O	first	O	True	 
determine	O	determine	O	True	 
the	O	the	O	True	 
most	O	most	O	True	 
efficient	O	efficient	O	True	 
route	O	route	O	True	 
to	O	to	O	True	 
school	O	school	O	True	 
using	O	using	O	True	 
public	O	public	O	True	 
transportation	O	transportation	O	True	 
for	O	for	O	True	 
4	200	O	4	200	O	True	 
first	O	first	O	True	 
-	O	-	O	True	 
time	O	time	O	True	 
freshmen	O	freshmen	O	True	 
in	O	in	O	True	 
Baltimore	O	Baltimore	O	True	 
City	O	City	O	True	 
public	O	public	O	True	 
high	O	high	O	True	 
schools	O	schools	O	True	 
.	O	.	O	True	 
Then	O	Then	O	True	 
		O			O	True	 
we	O	we	O	True	 
link	O	link	O	True	 
the	O	the	O	True	 
specific	O	specific	O	True	 
streets	O	streets	O	True	 
along	O	along	O	True	 
the	O	the	O	True	 
most	O	most	O	True	 
efficient	O	efficient	O	True	 
route	O	route	O	True	 
to	O	to	O	True	 
incident	O	incident	O	True	 
-	O	-	O	True	 
level	O	level	O	True	 
crime	O	crime	O	True	 
data	O	data	O	True	 
from	O	from	O	True	 
the	O	the	O	True	 
Baltimore	O	Baltimore	O	True	 
Police	O	Police	O	True	 
Department	O	Department	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
find	O	find	O	True	 
that	O	that	O	True	 
students	O	students	O	True	 
whose	O	whose	O	True	 
estimated	O	estimated	O	True	 
routes	O	routes	O	True	 
require	O	require	O	True	 
walking	O	walking	O	True	 
along	O	along	O	True	 
streets	variable	streets	O	False	 
with	variable	with	O	False	 
higher	variable	higher	O	False	 
violent	variable	violent	O	False	 
-	variable	-	O	False	 
crime	variable	crime	O	False	 
rates	variable	rates	O	False	 
have	O	have	O	True	 
higher	O	higher	O	True	 
rates	O	rates	O	True	 
of	O	of	O	True	 
absenteeism	variable	absenteeism	O	False	 
throughout	O	throughout	O	True	 
the	O	the	O	True	 
year	O	year	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
also	O	also	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
absenteeism	O	absenteeism	O	True	 
is	O	is	O	True	 
not	O	not	O	True	 
associated	O	associated	O	True	 
with	O	with	O	True	 
exposure	O	exposure	O	True	 
to	O	to	O	True	 
dangerous	O	dangerous	O	True	 
streets	O	streets	O	True	 
while	O	while	O	True	 
riding	O	riding	O	True	 
on	O	on	O	True	 
public	O	public	O	True	 
transit	O	transit	O	True	 
and	O	and	O	True	 
exposure	O	exposure	O	True	 
to	O	to	O	True	 
property	O	property	O	True	 
crime	O	crime	O	True	 
.	O	.	O	True	 
These	O	These	O	True	 
conclusions	O	conclusions	O	True	 
hold	O	hold	O	True	 
with	O	with	O	True	 
and	O	and	O	True	 
without	O	without	O	True	 
adjustments	O	adjustments	O	True	 
for	O	for	O	True	 
student	O	student	O	True	 
demographic	O	demographic	O	True	 
characteristics	O	characteristics	O	True	 
		O			O	True	 
prior	O	prior	O	True	 
school	O	school	O	True	 
attendance	O	attendance	O	True	 
		O			O	True	 
violent	O	violent	O	True	 
crime	O	crime	O	True	 
around	O	around	O	True	 
homes	O	homes	O	True	 
and	O	and	O	True	 
schools	O	schools	O	True	 
		O			O	True	 
and	O	and	O	True	 
unobserved	O	unobserved	O	True	 
differences	O	differences	O	True	 
related	O	related	O	True	 
to	O	to	O	True	 
school	O	school	O	True	 
preference	O	preference	O	True	 
and	O	and	O	True	 
neighborhood	O	neighborhood	O	True	 
selection	O	selection	O	True	 
.	O	.	O	True	 
