sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
This	O	This	O	True	 
article	O	article	O	True	 
contributes	O	contributes	O	True	 
to	O	to	O	True	 
the	O	the	O	True	 
literature	O	literature	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
nexus	O	nexus	O	True	 
between	O	between	O	True	 
climate	O	climate	O	True	 
change	O	change	O	True	 
and	O	and	O	True	 
violence	O	violence	O	True	 
by	O	by	O	True	 
focusing	O	focusing	O	True	 
on	O	on	O	True	 
Indonesia	O	Indonesia	O	True	 
over	O	over	O	True	 
the	O	the	O	True	 
period	O	period	O	True	 
[	O	[	O	True	 
1993][1994][1995][1996][1997][1998][1999][2000][2001][2002][2003	O	1993][1994][1995][1996][1997][1998][1999][2000][2001][2002][2003	O	True	 
]	O	]	O	True	 
.	O	.	O	True	 
Rice	O	Rice	O	True	 
is	O	is	O	True	 
the	O	the	O	True	 
staple	O	staple	O	True	 
food	O	food	O	True	 
in	O	in	O	True	 
Indonesia	O	Indonesia	O	True	 
and	O	and	O	True	 
we	O	we	O	True	 
investigate	O	investigate	O	True	 
whether	O	whether	O	True	 
its	O	its	O	True	 
scarcity	O	scarcity	O	True	 
can	O	can	O	True	 
be	O	be	O	True	 
blamed	O	blamed	O	True	 
for	O	for	O	True	 
fueling	O	fueling	O	True	 
violence	O	violence	O	True	 
.	O	.	O	True	 
Following	O	Following	O	True	 
insights	O	insights	O	True	 
from	O	from	O	True	 
the	O	the	O	True	 
natural	O	natural	O	True	 
science	O	science	O	True	 
literature	O	literature	O	True	 
		O			O	True	 
which	O	which	O	True	 
claims	O	claims	O	True	 
that	O	that	O	True	 
increases	O	increases	O	True	 
in	O	in	O	True	 
minimum	O	minimum	O	True	 
temperature	O	temperature	O	True	 
reduce	O	reduce	O	True	 
rice	O	rice	O	True	 
yields	O	yields	O	True	 
		O			O	True	 
we	O	we	O	True	 
maintain	O	maintain	O	True	 
that	O	that	O	True	 
increases	O	increases	O	True	 
in	O	in	O	True	 
minimum	O	minimum	O	True	 
temperature	O	temperature	O	True	 
reduce	O	reduce	O	True	 
food	O	food	O	True	 
availability	O	availability	O	True	 
in	O	in	O	True	 
many	O	many	O	True	 
provinces	O	provinces	O	True	 
		O			O	True	 
which	O	which	O	True	 
in	O	in	O	True	 
turn	O	turn	O	True	 
raises	O	raises	O	True	 
the	O	the	O	True	 
emergence	O	emergence	O	True	 
of	O	of	O	True	 
actual	O	actual	O	True	 
violence	O	violence	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
adopt	O	adopt	O	True	 
an	O	an	O	True	 
instrumental	O	instrumental	O	True	 
variable	O	variable	O	True	 
approach	O	approach	O	True	 
and	O	and	O	True	 
select	O	select	O	True	 
the	O	the	O	True	 
instruments	O	instruments	O	True	 
taking	O	taking	O	True	 
into	O	into	O	True	 
account	O	account	O	True	 
the	O	the	O	True	 
rice	O	rice	O	True	 
growing	O	growing	O	True	 
calendar	O	calendar	O	True	 
.	O	.	O	True	 
Results	O	Results	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
an	O	an	O	True	 
increase	O	increase	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
minimum	variable	minimum	variable	True	 
temperature	variable	temperature	variable	True	 
during	O	during	variable	False	 
the	O	the	variable	False	 
core	O	core	variable	False	 
month	O	month	variable	False	 
of	O	of	variable	False	 
the	O	the	variable	False	 
rice	O	rice	variable	False	 
growing	O	growing	variable	False	 
season	O	season	variable	False	 
		O			O	True	 
that	O	that	O	True	 
is	O	is	O	True	 
		O			O	True	 
December	O	December	O	True	 
		O			O	True	 
determines	O	determines	O	True	 
an	O	an	O	True	 
increase	O	increase	O	True	 
in	O	in	O	True	 
violence	variable	violence	variable	True	 
stimulated	O	stimulated	O	True	 
by	O	by	O	True	 
the	O	the	O	True	 
reduction	O	reduction	O	True	 
in	O	in	O	True	 
future	O	future	O	True	 
rice	variable	rice	O	False	 
production	variable	production	O	False	 
per	variable	per	O	False	 
capita	variable	capita	O	False	 
.	O	.	O	True	 
Results	O	Results	O	True	 
are	O	are	O	True	 
robust	O	robust	O	True	 
across	O	across	O	True	 
a	O	a	O	True	 
number	O	number	O	True	 
of	O	of	O	True	 
different	O	different	O	True	 
functional	O	functional	O	True	 
specifications	O	specifications	O	True	 
and	O	and	O	True	 
estimation	O	estimation	O	True	 
methods	O	methods	O	True	 
.	O	.	O	True	 
From	O	From	O	True	 
a	O	a	O	True	 
methodological	O	methodological	O	True	 
point	O	point	O	True	 
of	O	of	O	True	 
view	O	view	O	True	 
		O			O	True	 
we	O	we	O	True	 
claim	O	claim	O	True	 
that	O	that	O	True	 
the	O	the	O	True	 
inconclusive	O	inconclusive	O	True	 
results	O	results	O	True	 
obtained	O	obtained	O	True	 
in	O	in	O	True	 
this	O	this	O	True	 
literature	O	literature	O	True	 
may	O	may	O	True	 
be	O	be	O	True	 
caused	O	caused	O	True	 
by	O	by	O	True	 
an	O	an	O	True	 
overlook	O	overlook	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
correct	O	correct	O	True	 
bundle	O	bundle	O	True	 
crop	O	crop	O	True	 
/	O	/	O	True	 
temperature	O	temperature	O	True	 
.	O	.	O	True	 
Studies	O	Studies	O	True	 
concentrating	O	concentrating	O	True	 
on	O	on	O	True	 
several	O	several	O	True	 
countries	O	countries	O	True	 
with	O	with	O	True	 
different	O	different	O	True	 
crops	O	crops	O	True	 
and	O	and	O	True	 
using	O	using	O	True	 
variations	O	variations	O	True	 
of	O	of	O	True	 
average	O	average	O	True	 
temperature	O	temperature	O	True	 
as	O	as	O	True	 
a	O	a	O	True	 
measure	O	measure	O	True	 
of	O	of	O	True	 
climate	O	climate	O	True	 
change	O	change	O	True	 
missed	O	missed	O	True	 
the	O	the	O	True	 
biological	O	biological	O	True	 
mechanism	O	mechanism	O	True	 
behind	O	behind	O	True	 
the	O	the	O	True	 
relationship	O	relationship	O	True	 
between	O	between	O	True	 
climate	O	climate	O	True	 
change	O	change	O	True	 
and	O	and	O	True	 
violence	O	violence	O	True	 
.	O	.	O	True	 
Keywords	O	Keywords	O	True	 
climate	O	climate	O	True	 
change	O	change	O	True	 
		O			O	True	 
food	O	food	O	True	 
availability	O	availability	O	True	 
		O			O	True	 
Indonesia	O	Indonesia	O	True	 
		O			O	True	 
minimum	O	minimum	O	True	 
temperature	O	temperature	O	True	 
		O			O	True	 
paddy	O	paddy	O	True	 
rice	O	rice	O	True	 
		O			O	True	 
rainfall	O	rainfall	O	True	 
		O			O	True	 
rice	O	rice	O	True	 
crops	O	crops	O	True	 
		O			O	True	 
routine	O	routine	O	True	 
violence	O	violence	O	True	 
1	O	1	O	True	 
The	O	The	O	True	 
literature	O	literature	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
nexus	O	nexus	O	True	 
between	O	between	O	True	 
climate	O	climate	O	True	 
change	O	change	O	True	 
and	O	and	O	True	 
violence	O	violence	O	True	 
has	O	has	O	True	 
increased	O	increased	O	True	 
dramatically	O	dramatically	O	True	 
in	O	in	O	True	 
recent	O	recent	O	True	 
years	O	years	O	True	 
.	O	.	O	True	 
See	O	See	O	True	 
among	O	among	O	True	 
others	O	others	O	True	 
Gleditsch	O	Gleditsch	O	True	 
(	O	(	O	True	 
2012	O	2012	O	True	 
)	O	)	O	True	 
		O			O	True	 
