sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
This	O	This	O	True	 
study	O	study	O	True	 
examines	O	examines	O	True	 
whether	O	whether	O	True	 
mood	O	mood	O	True	 
affects	O	affects	O	True	 
the	O	the	O	True	 
aggregate	O	aggregate	O	True	 
state	O	state	O	True	 
-	O	-	O	True	 
level	O	level	O	True	 
macroeconomy	O	macroeconomy	O	True	 
through	O	through	O	True	 
its	O	its	O	True	 
impact	O	impact	O	True	 
on	O	on	O	True	 
firm	O	firm	O	True	 
-	O	-	O	True	 
level	O	level	O	True	 
decisions	O	decisions	O	True	 
.	O	.	O	True	 
Using	O	Using	O	True	 
sky	O	sky	O	True	 
cloud	O	cloud	O	True	 
cover	O	cover	O	True	 
as	O	as	O	True	 
a	O	a	O	True	 
proxy	O	proxy	O	True	 
for	O	for	O	True	 
mood	O	mood	O	True	 
		O			O	True	 
we	O	we	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
mood	variable	mood	O	False	 
affects	O	affects	O	True	 
the	O	the	O	True	 
economic	variable	economic	O	False	 
expectations	variable	expectations	O	False	 
of	O	of	O	True	 
small	O	small	O	True	 
business	O	business	O	True	 
managers	O	managers	O	True	 
.	O	.	O	True	 
After	O	After	O	True	 
relatively	O	relatively	O	True	 
sunnier	O	sunnier	O	True	 
periods	O	periods	O	True	 
		O			O	True	 
managers	O	managers	O	True	 
have	O	have	O	True	 
more	O	more	O	True	 
optimistic	O	optimistic	O	True	 
expectations	O	expectations	O	True	 
		O			O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
component	O	component	O	True	 
of	O	of	O	True	 
their	O	their	O	True	 
expectations	O	expectations	O	True	 
related	O	related	O	True	 
to	O	to	O	True	 
mood	O	mood	O	True	 
influences	O	influences	O	True	 
hiring	O	hiring	O	True	 
and	O	and	O	True	 
investment	O	investment	O	True	 
decisions	O	decisions	O	True	 
.	O	.	O	True	 
Consequently	O	Consequently	O	True	 
		O			O	True	 
mood	O	mood	O	True	 
affects	O	affects	O	True	 
state	O	state	O	True	 
-	O	-	O	True	 
level	O	level	O	True	 
job	O	job	O	True	 
creation	O	creation	O	True	 
and	O	and	O	True	 
new	O	new	O	True	 
business	O	business	O	True	 
starts	O	starts	O	True	 
		O			O	True	 
especially	O	especially	O	True	 
during	O	during	O	True	 
periods	O	periods	O	True	 
of	O	of	O	True	 
greater	O	greater	O	True	 
economic	O	economic	O	True	 
uncertainty	O	uncertainty	O	True	 
.	O	.	O	True	 
These	O	These	O	True	 
results	O	results	O	True	 
suggest	O	suggest	O	True	 
that	O	that	O	True	 
mood	variable	mood	O	False	 
-	variable	-	O	False	 
induced	variable	induced	O	False	 
economic	variable	economic	O	False	 
expectations	variable	expectations	O	False	 
influence	O	influence	O	True	 
firm	O	firm	O	True	 
-	O	-	O	True	 
level	O	level	O	True	 
managerial	variable	managerial	O	False	 
decisions	variable	decisions	O	False	 
and	O	and	O	True	 
state	O	state	O	True	 
-	O	-	O	True	 
level	O	level	O	True	 
macroeconomic	variable	macroeconomic	O	False	 
fluctuations	variable	fluctuations	O	False	 
.	O	.	O	True	 
