sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
Labor	O	Labor	O	True	 
force	O	force	O	True	 
participation	O	participation	O	True	 
of	O	of	O	True	 
women	O	women	O	True	 
is	O	is	O	True	 
expected	O	expected	O	True	 
to	O	to	O	True	 
decrease	O	decrease	O	True	 
the	O	the	O	True	 
risk	O	risk	O	True	 
of	O	of	O	True	 
spousal	O	spousal	O	True	 
violence	O	violence	O	True	 
by	O	by	O	True	 
enhancing	O	enhancing	O	True	 
their	O	their	O	True	 
bargaining	O	bargaining	O	True	 
power	O	power	O	True	 
or	O	or	O	True	 
diminishing	O	diminishing	O	True	 
their	O	their	O	True	 
contacts	O	contacts	O	True	 
with	O	with	O	True	 
abusive	O	abusive	O	True	 
partners	O	partners	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
opposite	O	opposite	O	True	 
effect	O	effect	O	True	 
is	O	is	O	True	 
predicted	O	predicted	O	True	 
when	O	when	O	True	 
female	O	female	O	True	 
employment	O	employment	O	True	 
induces	O	induces	O	True	 
male	O	male	O	True	 
backlash	O	backlash	O	True	 
.	O	.	O	True	 
I	O	I	O	True	 
identify	O	identify	O	True	 
the	O	the	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
female	O	female	O	True	 
employment	O	employment	O	True	 
on	O	on	O	True	 
spousal	O	spousal	O	True	 
violence	O	violence	O	True	 
by	O	by	O	True	 
exploiting	O	exploiting	O	True	 
the	O	the	O	True	 
exogenous	O	exogenous	O	True	 
variations	O	variations	O	True	 
in	O	in	O	True	 
rural	O	rural	O	True	 
women	O	women	O	True	 
's	O	's	O	True	 
working	O	working	O	True	 
status	O	status	O	True	 
driven	O	driven	O	True	 
by	O	by	O	True	 
rainfall	O	rainfall	O	True	 
shocks	O	shocks	O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
rice	O	rice	O	True	 
-	O	-	O	True	 
wheat	O	wheat	O	True	 
dichotomy	O	dichotomy	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
instrumental	O	instrumental	O	True	 
variable	O	variable	O	True	 
regression	O	regression	O	True	 
result	O	result	O	True	 
indicates	O	indicates	O	True	 
that	O	that	O	True	 
female	variable	female	variable	True	 
employment	variable	employment	variable	True	 
significantly	O	significantly	O	True	 
reduces	O	reduces	O	True	 
the	O	the	O	True	 
incidence	O	incidence	variable	False	 
of	O	of	variable	False	 
spousal	variable	spousal	variable	True	 
violence	variable	violence	variable	True	 
.	O	.	O	True	 
This	O	This	O	True	 
result	O	result	O	True	 
is	O	is	O	True	 
mainly	O	mainly	O	True	 
driven	O	driven	O	True	 
by	O	by	O	True	 
the	O	the	O	True	 
exposure	O	exposure	O	True	 
reduction	O	reduction	O	True	 
effect	O	effect	O	True	 
that	O	that	O	True	 
dominates	O	dominates	O	True	 
male	O	male	O	True	 
backlash	O	backlash	O	True	 
.	O	.	O	True	 
There	O	There	O	True	 
is	O	is	O	True	 
		O			O	True	 
however	O	however	O	True	 
		O			O	True	 
no	O	no	O	True	 
evidence	O	evidence	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
bargaining	O	bargaining	O	True	 
effect	O	effect	O	True	 
.	O	.	O	True	 
