sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
In	O	In	O	True	 
the	O	the	O	True	 
1960s	O	1960s	O	True	 
many	O	many	O	True	 
American	O	American	O	True	 
cities	O	cities	O	True	 
experienced	O	experienced	O	True	 
violent	O	violent	O	True	 
		O			O	True	 
race	O	race	O	True	 
-	O	-	O	True	 
related	O	related	O	True	 
civil	O	civil	O	True	 
disturbances	O	disturbances	O	True	 
.	O	.	O	True	 
This	O	This	O	True	 
article	O	article	O	True	 
examines	O	examines	O	True	 
census	O	census	O	True	 
data	O	data	O	True	 
from	O	from	O	True	 
1950	O	1950	O	True	 
to	O	to	O	True	 
1980	O	1980	O	True	 
to	O	to	O	True	 
measure	O	measure	O	True	 
the	O	the	O	True	 
riots	O	riots	O	True	 
'	O	'	O	True	 
impact	O	impact	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
value	O	value	O	True	 
of	O	of	O	True	 
central	O	central	O	True	 
-	O	-	O	True	 
city	O	city	O	True	 
residential	O	residential	O	True	 
property	O	property	O	True	 
		O			O	True	 
and	O	and	O	True	 
especially	O	especially	O	True	 
on	O	on	O	True	 
black	O	black	O	True	 
-	O	-	O	True	 
owned	O	owned	O	True	 
property	O	property	O	True	 
.	O	.	O	True	 
Both	O	Both	O	True	 
OLS	O	OLS	O	True	 
and	O	and	O	True	 
IV	O	IV	O	True	 
estimates	O	estimates	O	True	 
indicate	O	indicate	O	True	 
that	O	that	O	True	 
the	O	the	O	True	 
riots	variable	riots	variable	True	 
depressed	O	depressed	O	True	 
the	O	the	O	True	 
median	O	median	variable	False	 
value	O	value	variable	False	 
of	O	of	variable	False	 
black	variable	black	variable	True	 
-	variable	-	variable	True	 
owned	variable	owned	variable	True	 
property	variable	property	variable	True	 
between	O	between	variable	False	 
1960	O	1960	variable	False	 
and	O	and	variable	False	 
1970	O	1970	variable	False	 
		O			O	True	 
with	O	with	O	True	 
little	O	little	O	True	 
or	O	or	O	True	 
no	O	no	O	True	 
rebound	O	rebound	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
1970s	O	1970s	O	True	 
.	O	.	O	True	 
Census	O	Census	O	True	 
tract	O	tract	O	True	 
data	O	data	O	True	 
for	O	for	O	True	 
a	O	a	O	True	 
small	O	small	O	True	 
number	O	number	O	True	 
of	O	of	O	True	 
cities	O	cities	O	True	 
suggest	O	suggest	O	True	 
relative	O	relative	O	True	 
losses	O	losses	O	True	 
of	O	of	O	True	 
population	O	population	variable	False	 
and	O	and	O	True	 
property	O	property	variable	False	 
value	O	value	variable	False	 
in	O	in	O	True	 
tracts	O	tracts	O	True	 
that	O	that	O	True	 
were	O	were	O	True	 
directly	O	directly	O	True	 
affected	O	affected	O	True	 
by	O	by	O	True	 
riots	O	riots	variable	False	 
compared	O	compared	O	True	 
to	O	to	O	True	 
other	O	other	O	True	 
tracts	O	tracts	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
same	O	same	O	True	 
cities.he	O	cities.he	O	True	 
course	O	course	O	True	 
of	O	of	O	True	 
racial	O	racial	O	True	 
politics	O	politics	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
United	O	United	O	True	 
States	O	States	O	True	 
changed	O	changed	O	True	 
abruptly	O	abruptly	O	True	 
between	O	between	O	True	 
the	O	the	O	True	 
passage	O	passage	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
Civil	O	Civil	O	True	 
Rights	O	Rights	O	True	 
Act	O	Act	O	True	 
of	O	of	O	True	 
1964	O	1964	O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
Fair	O	Fair	O	True	 
Housing	O	Housing	O	True	 
Act	O	Act	O	True	 
of	O	of	O	True	 
1968	O	1968	O	True	 
.	O	.	O	True	 
In	O	In	O	True	 
August	O	August	O	True	 
1965	O	1965	O	True	 
the	O	the	O	True	 
torching	O	torching	O	True	 
and	O	and	O	True	 
looting	O	looting	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
Watts	O	Watts	O	True	 
area	O	area	O	True	 
of	O	of	O	True	 
Los	O	Los	O	True	 
Angeles	O	Angeles	O	True	 
was	O	was	O	True	 
the	O	the	O	True	 
opening	O	opening	O	True	 
salvo	O	salvo	O	True	 
in	O	in	O	True	 
a	O	a	O	True	 
series	O	series	O	True	 
of	O	of	O	True	 
major	O	major	O	True	 
urban	O	urban	O	True	 
riots	O	riots	O	True	 
.	O	.	O	True	 
1	O	1	O	True	 
 	O	 	O	True	 
The	O	The	O	True	 
1960s	O	1960s	O	True	 
riots	O	riots	O	True	 
were	O	were	O	True	 
neither	O	neither	O	True	 
the	O	the	O	True	 
first	O	first	O	True	 
nor	O	nor	O	True	 
the	O	the	O	True	 
last	O	last	O	True	 
racerelated	O	racerelated	O	True	 
"	O	"	O	True	 
civil	O	civil	O	True	 
disturbances	O	disturbances	O	True	 
"	O	"	O	True	 
in	O	in	O	True	 
American	O	American	O	True	 
cities	O	cities	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
twentieth	O	twentieth	O	True	 
century	O	century	O	True	 
		O			O	True	 
as	O	as	O	True	 
examples	O	examples	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
1910s	O	1910s	O	True	 
		O			O	True	 
1940s	O	1940s	O	True	 
		O			O	True	 
and	O	and	O	True	 
more	O	more	O	True	 
recently	O	recently	O	True	 
vividly	O	vividly	O	True	 
attest	O	attest	O	True	 
.	O	.	O	True	 
Still	O	Still	O	True	 
		O			O	True	 
in	O	in	O	True	 
sheer	O	sheer	O	True	 
frequency	O	frequency	O	True	 
and	O	and	O	True	 
overall	O	overall	O	True	 
destructiveness	O	destructiveness	O	True	 
the	O	the	O	True	 
1960s	O	1960s	O	True	 
riots	O	riots	O	True	 
were	O	were	O	True	 
historically	O	historically	O	True	 
unique	O	unique	O	True	 
.	O	.	O	True	 
It	O	It	O	True	 
is	O	is	O	True	 
not	O	not	O	True	 
surprising	O	surprising	O	True	 
that	O	that	O	True	 
the	O	the	O	True	 
riots	O	riots	O	True	 
loom	O	loom	O	True	 
large	O	large	O	True	 
in	O	in	O	True	 
historical	O	historical	O	True	 
