sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
This	O	This	O	True	 
paper	O	paper	O	True	 
examines	O	examines	O	True	 
the	O	the	O	True	 
role	O	role	O	True	 
physical	O	physical	O	True	 
activity	O	activity	O	True	 
plays	O	plays	O	True	 
in	O	in	O	True	 
determining	O	determining	O	True	 
body	O	body	O	True	 
mass	O	mass	O	True	 
using	O	using	O	True	 
data	O	data	O	True	 
from	O	from	O	True	 
the	O	the	O	True	 
American	O	American	O	True	 
Time	O	Time	O	True	 
Use	O	Use	O	True	 
Survey	O	Survey	O	True	 
.	O	.	O	True	 
Our	O	Our	O	True	 
work	O	work	O	True	 
is	O	is	O	True	 
the	O	the	O	True	 
first	O	first	O	True	 
to	O	to	O	True	 
address	O	address	O	True	 
the	O	the	O	True	 
measurement	O	measurement	O	True	 
error	O	error	O	True	 
that	O	that	O	True	 
arises	O	arises	O	True	 
when	O	when	O	True	 
time	O	time	O	True	 
use	O	use	O	True	 
during	O	during	O	True	 
a	O	a	O	True	 
single	O	single	O	True	 
day	O	day	O	True	 
-	O	-	O	True	 
rather	O	rather	O	True	 
than	O	than	O	True	 
average	O	average	O	True	 
daily	O	daily	O	True	 
time	O	time	O	True	 
use	O	use	O	True	 
over	O	over	O	True	 
an	O	an	O	True	 
extended	O	extended	O	True	 
period	O	period	O	True	 
-	O	-	O	True	 
is	O	is	O	True	 
used	O	used	O	True	 
as	O	as	O	True	 
an	O	an	O	True	 
explanatory	O	explanatory	O	True	 
variable	O	variable	O	True	 
.	O	.	O	True	 
We	O	We	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
failing	O	failing	O	True	 
to	O	to	O	True	 
account	O	account	O	True	 
for	O	for	O	True	 
day	O	day	O	True	 
-	O	-	O	True	 
to	O	to	O	True	 
-	O	-	O	True	 
day	O	day	O	True	 
variation	O	variation	O	True	 
in	O	in	O	True	 
activities	O	activities	O	True	 
results	O	results	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
effects	O	effects	O	True	 
of	O	of	O	True	 
time	O	time	O	True	 
use	O	use	O	True	 
on	O	on	O	True	 
a	O	a	O	True	 
typical	O	typical	O	True	 
day	O	day	O	True	 
being	O	being	O	True	 
understated	O	understated	O	True	 
.	O	.	O	True	 
Furthermore	O	Furthermore	O	True	 
		O			O	True	 
we	O	we	O	True	 
account	O	account	O	True	 
for	O	for	O	True	 
the	O	the	O	True	 
possibility	O	possibility	O	True	 
that	O	that	O	True	 
physical	O	physical	O	True	 
activity	O	activity	O	True	 
and	O	and	O	True	 
body	O	body	O	True	 
mass	O	mass	O	True	 
are	O	are	O	True	 
jointly	O	jointly	O	True	 
determined	O	determined	O	True	 
by	O	by	O	True	 
implementing	O	implementing	O	True	 
Lewbel	O	Lewbel	O	True	 
's	O	's	O	True	 
instrumental	O	instrumental	O	True	 
variables	O	variables	O	True	 
estimator	O	estimator	O	True	 
that	O	that	O	True	 
exploits	O	exploits	O	True	 
first	O	first	O	True	 
-	O	-	O	True	 
stage	O	stage	O	True	 
heteroskedasticity	O	heteroskedasticity	O	True	 
rather	O	rather	O	True	 
than	O	than	O	True	 
traditional	O	traditional	O	True	 
exclusion	O	exclusion	O	True	 
restrictions	O	restrictions	O	True	 
.	O	.	O	True	 
While	O	While	O	True	 
averaging	O	averaging	O	True	 
30	O	30	variable	False	 
min	O	min	variable	False	 
of	O	of	variable	False	 
transportation	O	transportation	variable	False	 
-	O	-	variable	False	 
related	O	related	variable	False	 
biking	O	biking	variable	False	 
or	O	or	variable	False	 
walking	O	walking	variable	False	 
per	O	per	variable	False	 
day	O	day	variable	False	 
lowers	O	lowers	O	True	 
the	O	the	O	True	 
BMI	O	BMI	variable	False	 
of	O	of	O	True	 
men	O	men	O	True	 
by	O	by	O	True	 
1.5	O	1.5	O	True	 
		O			O	True	 
we	O	we	O	True	 
find	O	find	O	True	 
no	O	no	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
physically	O	physically	O	True	 
active	O	active	O	True	 
leisure	O	leisure	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
BMI	O	BMI	O	True	 
of	O	of	O	True	 
men	O	men	O	True	 
in	O	in	O	True	 
our	O	our	O	True	 
sample	O	sample	O	True	 
.	O	.	O	True	 
In	O	In	O	True	 
contrast	O	contrast	O	True	 
		O			O	True	 
30	O	30	O	True	 
min	O	min	O	True	 
of	O	of	O	True	 
per	O	per	O	True	 
day	O	day	O	True	 
of	O	of	O	True	 
either	O	either	O	True	 
type	O	type	O	True	 
of	O	of	O	True	 
physical	O	physical	O	True	 
activity	O	activity	O	True	 
lowers	O	lowers	O	True	 
the	O	the	O	True	 
BMI	O	BMI	O	True	 
of	O	of	O	True	 
women	O	women	O	True	 
by	O	by	O	True	 
1	O	1	O	True	 
.	O	.	O	True	 
