sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
Happiness	O	Happiness	O	True	 
and	O	and	O	True	 
other	O	other	O	True	 
emotions	O	emotions	O	True	 
spread	O	spread	O	True	 
between	O	between	O	True	 
people	O	people	O	True	 
in	O	in	O	True	 
direct	O	direct	O	True	 
contact	O	contact	O	True	 
		O			O	True	 
but	O	but	O	True	 
it	O	it	O	True	 
is	O	is	O	True	 
unclear	O	unclear	O	True	 
whether	O	whether	O	True	 
massive	O	massive	O	True	 
online	O	online	O	True	 
social	O	social	O	True	 
networks	O	networks	O	True	 
also	O	also	O	True	 
contribute	O	contribute	O	True	 
to	O	to	O	True	 
this	O	this	O	True	 
spread	O	spread	O	True	 
.	O	.	O	True	 
Here	O	Here	O	True	 
		O			O	True	 
we	O	we	O	True	 
elaborate	O	elaborate	O	True	 
a	O	a	O	True	 
novel	O	novel	O	True	 
method	O	method	O	True	 
for	O	for	O	True	 
measuring	O	measuring	O	True	 
the	O	the	O	True	 
contagion	O	contagion	O	True	 
of	O	of	O	True	 
emotional	O	emotional	O	True	 
expression	O	expression	O	True	 
.	O	.	O	True	 
With	O	With	O	True	 
data	O	data	O	True	 
from	O	from	O	True	 
millions	O	millions	O	True	 
of	O	of	O	True	 
Facebook	O	Facebook	O	True	 
users	O	users	O	True	 
		O			O	True	 
we	O	we	O	True	 
show	O	show	O	True	 
that	O	that	O	True	 
rainfall	variable	rainfall	variable	True	 
directly	O	directly	O	True	 
influences	O	influences	O	True	 
the	O	the	O	True	 
emotional	O	emotional	variable	False	 
content	O	content	variable	False	 
of	O	of	variable	False	 
their	O	their	variable	False	 
status	variable	status	variable	True	 
messages	variable	messages	variable	True	 
		O			O	True	 
and	O	and	O	True	 
it	O	it	O	True	 
also	O	also	O	True	 
affects	O	affects	O	True	 
the	O	the	O	True	 
status	O	status	variable	False	 
messages	O	messages	variable	False	 
of	O	of	variable	False	 
friends	O	friends	variable	False	 
in	O	in	variable	False	 
other	O	other	variable	False	 
cities	O	cities	variable	False	 
who	O	who	variable	False	 
are	O	are	variable	False	 
not	O	not	variable	False	 
experiencing	O	experiencing	variable	False	 
rainfall	O	rainfall	variable	False	 
.	O	.	O	True	 
For	O	For	O	True	 
every	O	every	O	True	 
one	O	one	O	True	 
person	O	person	O	True	 
affected	O	affected	O	True	 
directly	O	directly	O	True	 
		O			O	True	 
rainfall	variable	rainfall	O	False	 
alters	O	alters	O	True	 
the	O	the	O	True	 
emotional	variable	emotional	O	False	 
expression	variable	expression	O	False	 
of	O	of	O	True	 
about	O	about	O	True	 
one	O	one	O	True	 
to	O	to	O	True	 
two	O	two	O	True	 
other	O	other	O	True	 
people	O	people	O	True	 
		O			O	True	 
suggesting	O	suggesting	O	True	 
that	O	that	O	True	 
online	O	online	O	True	 
social	O	social	O	True	 
networks	O	networks	O	True	 
may	O	may	O	True	 
magnify	O	magnify	O	True	 
the	O	the	O	True	 
intensity	O	intensity	O	True	 
of	O	of	O	True	 
global	O	global	O	True	 
emotional	O	emotional	O	True	 
synchrony	O	synchrony	O	True	 
.	O	.	O	True	 
