sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
China	O	China	O	True	 
faces	O	faces	O	True	 
severe	O	severe	O	True	 
air	O	air	O	True	 
pollution	O	pollution	O	True	 
issues	O	issues	O	True	 
due	O	due	O	True	 
to	O	to	O	True	 
the	O	the	O	True	 
rapid	O	rapid	O	True	 
growth	O	growth	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
economy	O	economy	O	True	 
		O			O	True	 
causing	O	causing	O	True	 
concerns	O	concerns	O	True	 
for	O	for	O	True	 
human	O	human	O	True	 
physical	O	physical	O	True	 
and	O	and	O	True	 
mental	O	mental	O	True	 
health	O	health	O	True	 
as	O	as	O	True	 
well	O	well	O	True	 
as	O	as	O	True	 
behavioral	O	behavioral	O	True	 
changes	O	changes	O	True	 
.	O	.	O	True	 
Such	O	Such	O	True	 
adverse	O	adverse	O	True	 
impacts	O	impacts	O	True	 
can	O	can	O	True	 
be	O	be	O	True	 
mediated	O	mediated	O	True	 
by	O	by	O	True	 
individual	O	individual	O	True	 
avoidance	O	avoidance	O	True	 
behaviors	O	behaviors	O	True	 
such	O	such	O	True	 
as	O	as	O	True	 
traveling	O	traveling	O	True	 
from	O	from	O	True	 
polluted	O	polluted	O	True	 
cities	O	cities	O	True	 
to	O	to	O	True	 
cleaner	O	cleaner	O	True	 
ones	O	ones	O	True	 
.	O	.	O	True	 
This	O	This	O	True	 
study	O	study	O	True	 
utilizes	O	utilizes	O	True	 
smartphone	O	smartphone	O	True	 
-	O	-	O	True	 
based	O	based	O	True	 
location	O	location	O	True	 
data	O	data	O	True	 
and	O	and	O	True	 
instrumental	O	instrumental	O	True	 
variable	O	variable	O	True	 
regression	O	regression	O	True	 
to	O	to	O	True	 
try	O	try	O	True	 
and	O	and	O	True	 
find	O	find	O	True	 
out	O	out	O	True	 
how	O	how	O	True	 
air	O	air	O	True	 
quality	O	quality	O	True	 
affects	O	affects	O	True	 
population	O	population	O	True	 
mobility	O	mobility	O	True	 
.	O	.	O	True	 
Our	O	Our	O	True	 
results	O	results	O	True	 
confirm	O	confirm	O	True	 
that	O	that	O	True	 
air	variable	air	variable	True	 
quality	variable	quality	variable	True	 
does	O	does	O	True	 
affect	O	affect	O	True	 
the	O	the	O	True	 
population	variable	population	variable	True	 
outflows	variable	outflows	variable	True	 
of	O	of	variable	False	 
cities	O	cities	variable	False	 
.	O	.	O	True	 
An	O	An	O	True	 
increase	O	increase	O	True	 
of	O	of	O	True	 
100	O	100	O	True	 
points	O	points	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
air	O	air	variable	False	 
quality	O	quality	variable	False	 
index	O	index	O	True	 
will	O	will	O	True	 
cause	O	cause	O	True	 
a	O	a	O	True	 
49.60	O	49.60	O	True	 
%	O	%	O	True	 
increase	O	increase	O	True	 
in	O	in	O	True	 
population	O	population	variable	False	 
outflow	O	outflow	variable	False	 
		O			O	True	 
and	O	and	O	True	 
a	O	a	O	True	 
rise	O	rise	O	True	 
of	O	of	O	True	 
1	O	1	O	True	 
μg	O	μg	O	True	 
m	O	m	O	True	 
−3	O	−3	O	True	 
in	O	in	O	True	 
PM	O	PM	O	True	 
2.5	O	2.5	O	True	 
may	O	may	O	True	 
cause	O	cause	O	True	 
a	O	a	O	True	 
0.47	O	0.47	O	True	 
%	O	%	O	True	 
rise	O	rise	O	True	 
in	O	in	O	True	 
population	O	population	O	True	 
outflow	O	outflow	O	True	 
.	O	.	O	True	 
Air	O	Air	O	True	 
pollution	O	pollution	O	True	 
incidents	O	incidents	O	True	 
can	O	can	O	True	 
drive	O	drive	O	True	 
people	O	people	O	True	 
to	O	to	O	True	 
leave	O	leave	O	True	 
their	O	their	O	True	 
cities	O	cities	O	True	 
3	O	3	O	True	 
days	O	days	O	True	 
or	O	or	O	True	 
a	O	a	O	True	 
week	O	week	O	True	 
later	O	later	O	True	 
by	O	by	O	True	 
railway	O	railway	O	True	 
or	O	or	O	True	 
road	O	road	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
effect	O	effect	O	True	 
is	O	is	O	True	 
heterogeneous	O	heterogeneous	O	True	 
among	O	among	O	True	 
workdays	O	workdays	O	True	 
		O			O	True	 
weekends	O	weekends	O	True	 
and	O	and	O	True	 
holidays	O	holidays	O	True	 
.	O	.	O	True	 
Our	O	Our	O	True	 
results	O	results	O	True	 
imply	O	imply	O	True	 
that	O	that	O	True	 
air	O	air	O	True	 
quality	O	quality	O	True	 
management	O	management	O	True	 
can	O	can	O	True	 
be	O	be	O	True	 
critical	O	critical	O	True	 
for	O	for	O	True	 
urban	O	urban	O	True	 
tourism	O	tourism	O	True	 
and	O	and	O	True	 
environmental	O	environmental	O	True	 
competitiveness	O	competitiveness	O	True	 
.	O	.	O	True	 
