sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
Using	O	Using	O	True	 
fixed	O	fixed	O	True	 
effects	O	effects	O	True	 
estimators	O	estimators	O	True	 
to	O	to	O	True	 
remove	O	remove	O	True	 
unobserved	O	unobserved	O	True	 
heterogeneity	O	heterogeneity	O	True	 
and	O	and	O	True	 
instrumental	O	instrumental	O	True	 
variable	O	variable	O	True	 
technique	O	technique	O	True	 
to	O	to	O	True	 
address	O	address	O	True	 
the	O	the	O	True	 
endogeneity	O	endogeneity	O	True	 
of	O	of	O	True	 
income	O	income	O	True	 
		O			O	True	 
this	O	this	O	True	 
paper	O	paper	O	True	 
analyzes	O	analyzes	O	True	 
the	O	the	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
weather	O	weather	O	True	 
events	O	events	O	True	 
on	O	on	O	True	 
welfare	O	welfare	O	True	 
in	O	in	O	True	 
the	O	the	O	True	 
Philippines	O	Philippines	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
paper	O	paper	O	True	 
finds	O	finds	O	True	 
that	O	that	O	True	 
		O			O	True	 
one	O	one	O	True	 
		O			O	True	 
treating	O	treating	O	True	 
income	O	income	O	True	 
as	O	as	O	True	 
an	O	an	O	True	 
exogenous	O	exogenous	O	True	 
variable	O	variable	O	True	 
underestimates	O	underestimates	O	True	 
the	O	the	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
income	O	income	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
household	O	household	O	True	 
's	O	's	O	True	 
resource	O	resource	O	True	 
allocation	O	allocation	O	True	 
.	O	.	O	True	 
Two	O	Two	O	True	 
		O			O	True	 
there	O	there	O	True	 
are	O	are	O	True	 
more	O	more	O	True	 
expenditure	O	expenditure	O	True	 
shares	O	shares	O	True	 
for	O	for	O	True	 
which	O	which	O	True	 
income	O	income	O	True	 
is	O	is	O	True	 
endogenous	O	endogenous	O	True	 
using	O	using	O	True	 
the	O	the	O	True	 
tropical	O	tropical	O	True	 
cyclone	O	cyclone	O	True	 
data	O	data	O	True	 
than	O	than	O	True	 
using	O	using	O	True	 
the	O	the	O	True	 
heat	O	heat	O	True	 
index	O	index	O	True	 
deviation	O	deviation	O	True	 
data	O	data	O	True	 
as	O	as	O	True	 
instruments	O	instruments	O	True	 
.	O	.	O	True	 
This	O	This	O	True	 
likely	O	likely	O	True	 
indicates	O	indicates	O	True	 
that	O	that	O	True	 
the	O	the	O	True	 
households	O	households	O	True	 
'	O	'	O	True	 
unobservable	O	unobservable	O	True	 
characteristics	O	characteristics	O	True	 
like	O	like	O	True	 
risk	O	risk	variable	False	 
aversion	O	aversion	variable	False	 
is	O	is	O	True	 
heightened	O	heightened	O	True	 
for	O	for	O	True	 
more	O	more	variable	False	 
destructive	O	destructive	variable	False	 
weather	O	weather	variable	False	 
events	O	events	variable	False	 
.	O	.	O	True	 
Three	O	Three	O	True	 
		O			O	True	 
households	O	households	O	True	 
choose	O	choose	O	True	 
cheaper	O	cheaper	O	True	 
foods	O	foods	O	True	 
but	O	but	O	True	 
just	O	just	O	True	 
as	O	as	O	True	 
nutritious	O	nutritious	O	True	 
when	O	when	O	True	 
they	O	they	O	True	 
are	O	are	O	True	 
frequently	O	frequently	O	True	 
hit	O	hit	O	True	 
by	O	by	O	True	 
tropical	O	tropical	O	True	 
cyclones	O	cyclones	O	True	 
.	O	.	O	True	 
Reallocation	O	Reallocation	O	True	 
of	O	of	O	True	 
income	O	income	O	True	 
within	O	within	O	True	 
food	O	food	O	True	 
items	O	items	O	True	 
is	O	is	O	True	 
also	O	also	O	True	 
observed	O	observed	O	True	 
:	O	:	O	True	 
from	O	from	O	True	 
carbohydrate	O	carbohydrate	O	True	 
-	O	-	O	True	 
rich	O	rich	O	True	 
foods	O	foods	O	True	 
to	O	to	O	True	 
protein	O	protein	O	True	 
-	O	-	O	True	 
rich	O	rich	O	True	 
foods	O	foods	O	True	 
and	O	and	O	True	 
to	O	to	O	True	 
fruits	O	fruits	O	True	 
and	O	and	O	True	 
vegetables	O	vegetables	O	True	 
.	O	.	O	True	 
Four	O	Four	O	True	 
		O			O	True	 
the	O	the	O	True	 
presence	O	presence	O	True	 
of	O	of	O	True	 
children	O	children	O	True	 
affects	O	affects	O	True	 
most	O	most	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
food	O	food	O	True	 
items	O	items	O	True	 
and	O	and	O	True	 
it	O	it	O	True	 
has	O	has	O	True	 
the	O	the	O	True	 
biggest	O	biggest	O	True	 
effect	O	effect	O	True	 
on	O	on	O	True	 
non	O	non	O	True	 
-	O	-	O	True	 
alcoholic	O	alcoholic	O	True	 
beverages	O	beverages	O	True	 
such	O	such	O	True	 
as	O	as	O	True	 
juice	O	juice	O	True	 
and	O	and	O	True	 
coffee	O	coffee	O	True	 
while	O	while	O	True	 
the	O	the	O	True	 
presence	O	presence	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
elderly	O	elderly	O	True	 
affects	O	affects	O	True	 
only	O	only	O	True	 
a	O	a	O	True	 
few	O	few	O	True	 
expenditure	O	expenditure	O	True	 
items	O	items	O	True	 
such	O	such	O	True	 
as	O	as	O	True	 
education	O	education	O	True	 
and	O	and	O	True	 
medical	O	medical	O	True	 
care	O	care	O	True	 
.	O	.	O	True	 
This	O	This	O	True	 
reflects	O	reflects	O	True	 
the	O	the	O	True	 
still	O	still	O	True	 
evolving	O	evolving	O	True	 
needs	O	needs	O	True	 
of	O	of	O	True	 
children	O	children	O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
relatively	O	relatively	O	True	 
stable	O	stable	O	True	 
consumption	O	consumption	O	True	 
patterns	O	patterns	O	True	 
of	O	of	O	True	 
the	O	the	O	True	 
elderly	O	elderly	O	True	 
.	O	.	O	True	 
Based	O	Based	O	True	 
on	O	on	O	True	 
the	O	the	O	True	 
results	O	results	O	True	 
		O			O	True	 
specific	O	specific	O	True	 
recommendations	O	recommendations	O	True	 
are	O	are	O	True	 
forwarded	O	forwarded	O	True	 
.	O	.	O	True	 
In	O	In	O	True	 
broader	O	broader	O	True	 
terms	O	terms	O	True	 
		O			O	True	 
the	O	the	O	True	 
study	O	study	O	True	 
points	O	points	O	True	 
to	O	to	O	True	 
the	O	the	O	True	 
desirability	O	desirability	O	True	 
of	O	of	O	True	 
greater	O	greater	O	True	 
forms	O	forms	O	True	 
of	O	of	O	True	 
investment	O	investment	O	True	 
in	O	in	O	True	 
resilience	O	resilience	O	True	 
against	O	against	O	True	 
weather	O	weather	O	True	 
events	O	events	O	True	 
and	O	and	O	True	 
climate	O	climate	O	True	 
change	O	change	O	True	 
.	O	.	O	True	 
At	O	At	O	True	 
the	O	the	O	True	 
household	O	household	O	True	 
level	O	level	O	True	 
		O			O	True	 
poverty	O	poverty	O	True	 
is	O	is	O	True	 
a	O	a	O	True	 
binding	O	binding	O	True	 
constraint	O	constraint	O	True	 
to	O	to	O	True	 
good	O	good	O	True	 
investment	O	investment	O	True	 
in	O	in	O	True	 
resilience	O	resilience	O	True	 
against	O	against	O	True	 
weather	O	weather	O	True	 
events	O	events	O	True	 
and	O	and	O	True	 
the	O	the	O	True	 
government	O	government	O	True	 
has	O	has	O	True	 
to	O	to	O	True	 
continue	O	continue	O	True	 
its	O	its	O	True	 
efforts	O	efforts	O	True	 
towards	O	towards	O	True	 
poverty	O	poverty	O	True	 
reduction	O	reduction	O	True	 
.	O	.	O	True	 
To	O	To	O	True	 
this	O	this	O	True	 
end	O	end	O	True	 
		O			O	True	 
the	O	the	O	True	 
government	O	government	O	True	 
should	O	should	O	True	 
ensure	O	ensure	O	True	 
that	O	that	O	True	 
the	O	the	O	True	 
Department	O	Department	O	True	 
of	O	of	O	True	 
Social	O	Social	O	True	 
Welfare	O	Welfare	O	True	 
and	O	and	O	True	 
Development	O	Development	O	True	 
internal	O	internal	O	True	 
and	O	and	O	True	 
external	O	external	O	True	 
convergence	O	convergence	O	True	 
strategy	O	strategy	O	True	 
is	O	is	O	True	 
successfully	O	successfully	O	True	 
implemented	O	implemented	O	True	 
.	O	.	O	True	 
