sharmila	 tag 	 sean 	 tag 	 agreement 	 comment 
This	O	This	O	True	 
paper	O	paper	O	True	 
estimates	O	estimates	O	True	 
the	O	the	O	True	 
effect	O	effect	O	True	 
of	O	of	O	True	 
individual	O	individual	O	True	 
responsibility	O	responsibility	O	True	 
on	O	on	O	True	 
economic	O	economic	O	True	 
development	O	development	O	True	 
using	O	using	O	True	 
an	O	an	O	True	 
instrument	O	instrument	O	True	 
derived	O	derived	O	True	 
from	O	from	O	True	 
rainfall	O	rainfall	O	True	 
data	O	data	O	True	 
.	O	.	O	True	 
I	O	I	O	True	 
argue	O	argue	O	True	 
that	O	that	O	True	 
a	O	a	O	True	 
taste	O	taste	O	True	 
for	O	for	O	True	 
collective	O	collective	O	True	 
responsibility	O	responsibility	O	True	 
was	O	was	O	True	 
adaptive	O	adaptive	O	True	 
in	O	in	O	True	 
preindustrial	O	preindustrial	O	True	 
societies	O	societies	O	True	 
that	O	that	O	True	 
were	O	were	O	True	 
exposed	O	exposed	O	True	 
to	O	to	O	True	 
high	O	high	O	True	 
levels	O	levels	O	True	 
of	O	of	O	True	 
agricultural	O	agricultural	O	True	 
risk	O	risk	O	True	 
		O			O	True	 
and	O	and	O	True	 
that	O	that	O	True	 
these	O	these	O	True	 
attitudes	O	attitudes	O	True	 
continue	O	continue	O	True	 
to	O	to	O	True	 
influence	O	influence	O	True	 
contemporary	O	contemporary	O	True	 
social	O	social	O	True	 
norms	O	norms	O	True	 
and	O	and	O	True	 
economic	O	economic	O	True	 
outcomes	O	outcomes	O	True	 
.	O	.	O	True	 
The	O	The	O	True	 
link	O	link	O	True	 
between	O	between	O	True	 
agricultural	O	agricultural	O	True	 
risk	O	risk	O	True	 
and	O	and	O	True	 
collective	O	collective	O	True	 
responsibility	O	responsibility	O	True	 
is	O	is	O	True	 
formalized	O	formalized	O	True	 
in	O	in	O	True	 
a	O	a	O	True	 
model	O	model	O	True	 
of	O	of	O	True	 
optimal	O	optimal	O	True	 
parental	O	parental	O	True	 
socialization	O	socialization	O	True	 
effort	O	effort	O	True	 
.	O	.	O	True	 
Empirically	O	Empirically	O	True	 
		O			O	True	 
I	O	I	O	True	 
find	O	find	O	True	 
a	O	a	O	True	 
robust	O	robust	O	True	 
negative	O	negative	O	True	 
correlation	O	correlation	O	True	 
between	O	between	O	True	 
rainfall	O	rainfall	O	True	 
variation	O	variation	O	True	 
		O			O	True	 
a	O	a	O	True	 
measure	O	measure	O	True	 
of	O	of	O	True	 
exogenous	O	exogenous	O	True	 
agricultural	O	agricultural	O	True	 
risk	O	risk	O	True	 
		O			O	True	 
and	O	and	O	True	 
a	O	a	O	True	 
measure	O	measure	O	True	 
of	O	of	O	True	 
individual	O	individual	O	True	 
responsibility	O	responsibility	O	True	 
.	O	.	O	True	 
Using	O	Using	O	True	 
rainfall	O	rainfall	O	True	 
variation	O	variation	O	True	 
as	O	as	O	True	 
an	O	an	O	True	 
instrument	O	instrument	O	True	 
		O			O	True	 
I	O	I	O	True	 
find	O	find	O	True	 
that	O	that	O	True	 
individual	O	individual	variable	False	 
responsibility	O	responsibility	variable	False	 
has	O	has	O	True	 
a	O	a	O	True	 
large	O	large	O	True	 
positive	O	positive	O	True	 
effect	O	effect	O	True	 
on	O	on	O	True	 
economic	O	economic	variable	False	 
development	O	development	variable	False	 
.	O	.	O	True	 
The	O	The	O	True	 
relationships	O	relationships	O	True	 
between	O	between	O	True	 
rainfall	O	rainfall	O	True	 
variation	O	variation	O	True	 
		O			O	True	 
individual	O	individual	O	True	 
responsibility	O	responsibility	O	True	 
and	O	and	O	True	 
economic	O	economic	O	True	 
development	O	development	O	True	 
are	O	are	O	True	 
robust	O	robust	O	True	 
to	O	to	O	True	 
the	O	the	O	True	 
inclusion	O	inclusion	O	True	 
of	O	of	O	True	 
variables	O	variables	O	True	 
related	O	related	O	True	 
to	O	to	O	True	 
climate	O	climate	O	True	 
and	O	and	O	True	 
agricultural	O	agricultural	O	True	 
and	O	and	O	True	 
institutional	O	institutional	O	True	 
development	O	development	O	True	 
.	O	.	O	True	 
