"Structural and parametric identification of nonlinear continuous dynamic systems with a closed cycle on a set of continuous block-oriented models with feedback is considered. The method of structural identification in the steady state based on the observation of the system's input and output variables at the input periodic influences is proposed. The solution of the parameter identification problems, which can be immediately connected with the structural identification problem, is carried out in the steady and transient states by the method of least squares. The structural and parametric identification algorithms are investigated by means of both theoretical analysis and computer modeling."	5eqvzuf26n	"IDENTIFICATION OF NONLINEAR CONTINUOUS DYNAMIC SYSTEMS WITH CLOSED CYCLE."
null	evzzztjukf	"The Borders of Inter- Firm Mobility for ICT Employees in Italy."
"This paper presents an empirical study of changes that firms implement in their board-level IT governance (ITG) upon experiencing operational IT failures. Consistent with the separation of oversight from management decisions, board-level ITG is responsible for monitoring managerial IT decisions and policies for controlling IT resources. We expect that operational IT failures indicating inadequacies in board monitoring of controls over IT resources would result in a negative stock market reaction and, in turn, induce firms to improve their board-level ITG. Our expectation is confirmed based on a sample of 110 operational IT failures from U.S. public financial firms. Specifically, our results demonstrate that subsequent to experiencing operational IT failures, firms make improvements to the IT competency level of their boards, and the improvements are proportional to the degree of negative market reaction. However, those improvements are only on the executive side of the board, namely: an increase in the IT experience of internal (executive) directors and an increased turnover rate of CIOs serving on the board. Furthermore, the likelihood of CIO turnover is lower in ITintensive firms where such turnover could be more disruptive. Our results contribute to understanding the critical connection between operational IT failures and board-level ITG."	sszbdipxyb	"OPERATIONAL IT FAILURES, IT VALUE DESTRUCTION, AND BOARD-LEVEL IT GOVERNANCE CHANGES."
"In this paper, we estimate the impact of enforcing the Convention on Cybercrime (COC) on deterring distributed denial of service (DDOS) attacks. Our data set comprises a sample of real, random spoof-source DDOS attacks recorded in 106 countries in 177 days in the period 2004–2008. We find that enforcing the COC decreases DDOS attacks by at least 11.8 percent, but a similar deterrence effect does not exist if the enforcing countries make a reservation on international cooperation. We also find evidence of network and displacement effects in COC enforcement. Our findings imply attackers in cyberspace are rational, motivated by economic incentives, and strategic in choosing attack targets. We draw related implications."	gxhlxgdcdf	"CYBERCRIME DETERRENCE AND INTERNATIONAL LEGISLATION: EVIDENCE FROM DISTRIBUTED DENIAL OF SERVICE ATTACKS."
"Based on the “wisdom of the crowd” effect, consumer-generated online reviews are supposed to help consumers make more accurate product evaluations. However, the large amount of information in the reviews, coupled with conflicting opinions, can make it difficult for consumers to identify and consider those attributes relevant to their decision. Thus, while online product reviews are generally believed to empower consumers, we suggest that they may have “swaying” effects in that attribute preferences (i.e., the relative importance consumers place on various product attributes in product evaluation) are more heavily influenced by characteristics of the online reviews rather than by the relevance of the attributes to the consumers’ decision context. We propose that three characteristics of online reviews affect the assessment of attribute preferences: (1) the amount of information about attribute-level performance, which is often unevenly distributed across attributes, (2) the degree of information conflict about attribute-level performance, and (3) the relationship between the overall numeric rating and the attribute-level performance information in the reviews. We test our hypotheses in two randomized experiments and a free simulation study. Results from the three studies show that the three review characteristics influence attribute preferences and that their effects are strong enough such that attribute preferences are influenced more by these online review characteristics than by the relevance of the attributes to the consumers’ decision context. Our work, which illustrates a dark side to online reviews, has implications for both online word-of-mouth and preference construction research."	ww6rgfhyyf	"THE DARK SIDE OF REVIEWS: THE SWAYING EFFECTS OF ONLINE PRODUCT REVIEWS ON ATTRIBUTE PREFERENCE CONSTRUCTION."
"With the increasing popularity of product recommendation networks in e-commerce, researchers and practitioners are eager to understand how they can strategically manage product assortments through the manipulation of such networks to drive demand. We examine product recommendation networks in e-commerce to investigate how the demand of a product is influenced by product network attributes in terms of network diversity and network stability. We also examine whether the demand of a product is influenced by both the incoming network and the outgoing network, and if the effects differ between co-view and co-purchase recommendation networks. Using data from Tmall.com for four product categories, we apply linear panel data models to examine the impact of network diversity and network stability on product demand, controlling for relevant factors at the individual product, pricing, product network, product category, and time unit levels. Importantly, we account for implicit demand correlation (i.e., substitution and complementarity) and potential simultaneity of demand and network structures. We unravel several important findings. First, a 1% increase in the category diversity of the incoming (outgoing) co-purchase network of a product is associated with a 0.011% (0.012%) increase (decrease) in the product’s demand. Second, a 1% increase in the stability of the outgoing co-purchase network is associated with a 0.012% decrease in demand. Third, the demand effects of network diversity and stability are both stronger in the co-purchase network, compared to their insignificant effects in the co-view network. Thus, this research provides theoretical contributions in terms of the economic effects of product recommendation networks through its focus on network diversity and stability in incoming/ outgoing and co-view/co-purchase networks. We also provide notable implications for recommendation-based product marketing and recommendation systems design."	itjxymmibf	"THE DEMAND EFFECTS OF PRODUCT RECOMMENDATION NETWORKS: AN EMPIRICAL ANALYSIS OF NETWORK DIVERSITY AND STABILITY."
"Reviews and product recommendations at online stores enable customers to readily evaluate alternative products prior to purchase. In this context, firms generate recommendations referring customers to a wider variety of products. They also display customer-generated online reviews in order to facilitate evaluation of those recommended products. This study integrates these two IT artifacts to investigate consumer choice vis-a-vis competing products. We use a dataset we collected from Amazon.com consisting of books, sales ranks, recommendations, reviews, and reviewers. We derive the granular impact of reviews, product referrals, and reviewer opinions on product sale dynamics within a competitive market using comprehensive econometric analyses."	ygmw77cbmb	"Know Yourself and Know Your Enemy: An Analysis of Firm Recommendations and Consumer Reviews in a Competitive Environment"
"One fundamental economic challenge in social gaming is how to monetize players. We address this problem from the lens of social influence. Specifically, we examine how players' paying behaviors in a social game are associated with their pure friends and Simmelian-tie friends. Analyzing a comprehensive social game dataset provided by Tencent.com, we find that the cohesion effect emanating from players' direct connections in the social gaming network exhibits positive impacts on players' willingness to pay. Surprisingly, the cohesion effect of pure friends is found to be significantly stronger than that of Simmelian-tie friends, contrary to the common findings in the literature. These new findings have direct implications for companies tasked with designing social games or gamification <mark>systems</mark> and, more broadly, to help better understand the mechanism behind the microscopic economic behavior of individuals in a virtual economy."	ja3e56mykf	"Social Influence and Monetization of Freemium Social Games."
"We study how consumers decide which tariff plan to choose and whether to churn when their friends churn in the mobile industry. We develop a theoretical model showing conditions under which users remain with their carrier and conditions under which they churn when their friends do. We then use a large and rich anonymized longitudinal panel of call detailed records to characterize the consumers' path to death with unprecedented level of detail. We explore the structure of the network inferred from these data to derive instruments for friends' churn, which is typically endogenous in network settings. This allows us to econometrically identify the effect of peer influence in our setting. On average, we find that each additional friend that churns increases the monthly churn rate by 0.06 percent. The observed monthly churn rate across our dataset is 2.15 percent. We also find that firms introducing the pre-paid tariff plans that charge the same price to call users inside and outside the carrier help retain consumers that would otherwise churn. In our setting, without this tariff plan the monthly churn rate could have been as high as 8.09 percent. We perform a number of robustness checks, in particular to how we define friends in the social graph, and show that our results remain unchanged. Our paper shows that the traditional definition of customer lifetime value underestimates the value of consumers and, in particular, that of consumers with more friends due to the effect of contagious churn and, therefore, managers should actively take into account the structure of the social network when prioritizing whom to target during retention campaigns."	7p4pa3oqhv	"Effect of Friends' Churn on Consumer Behavior in Mobile Networks."
"Health consumers are increasingly participating in consumer-to-consumer (C2C) online health communities (OHCs) to receive health-related support and to provide assistance and support to others. However, questions remain as to how individual OHC participants are affected by the relationships they have established within an OHC and how the content exchanged between OHC participants impacts individual-level health knowledge and attitudes. To address these open questions, we develop a model that integrates participant network position (i.e., structural social capital) in an OHC, informational and emotional support exchange, and downstream individual-level health knowledge and attitudes. Based on a panel dataset collected from nine chronic disease-focused discussion boards within an OHC platform, we find that structural social capital is indeed a significant antecedent to social support exchange within an OHC and, interestingly, that social support provisioning (i.e., proactively aiding others) has a stronger effect than social support receipt on health literacy and health attitude improvement."	5vjv75s7pv	"Fostering Participant Health Knowledge and Attitudes: An Econometric Study of a Chronic Disease-Focused Online Health Community."
