,,,,,,,Text,Contains_Relation
"""We find that callers experience three to six times less discomfort per unit of time while waiting for callbacks than while waiting in queue, suggesting that offering callbacks can increase service quality by channeling callers to an alternative service channel where they experience less discomfort while waiting.""",,,,,,,"""We find that callers experience three to six times less discomfort per unit of time while waiting for callbacks than while waiting in queue, suggesting that offering callbacks can increase service quality by channeling callers to an alternative service channel where they experience less discomfort while waiting.""",1
"""Empirically, higher volatility of electricity prices leads to an increase in cash holdings, and this effect is robust to instrumenting for price risk using weather volatility.""",,,,,,,"""Empirically, higher volatility of electricity prices leads to an increase in cash holdings, and this effect is robust to instrumenting for price risk using weather volatility.""",1
"""I find that the mission, whether matched or random, increases effort compared to the no-mission condition.""",,,,,,,"""I find that the mission, whether matched or random, increases effort compared to the no-mission condition.""",1
"""This suggests that superstitious belief still affects economic activities.""",,,,,,,"""This suggests that superstitious belief still affects economic activities.""",1
"""The change in the sampling level is indeterminate because, while increased sampling productivity means that firms have incentives to increase sampling, the increase in the equilibrium goodwill level indirectly reduces the marginal productivity of sampling, thus reducing the incentives to sample.""",,,,,,,"""The change in the sampling level is indeterminate because, while increased sampling productivity means that firms have incentives to increase sampling, the increase in the equilibrium goodwill level indirectly reduces the marginal productivity of sampling, thus reducing the incentives to sample.""",1
"""The findings suggest that the risk of receiving stress-related medication increases significantly for employees at organizations that change, especially those that undergo broad simultaneous changes along several dimensions.""",,,,,,,"""The findings suggest that the risk of receiving stress-related medication increases significantly for employees at organizations that change, especially those that undergo broad simultaneous changes along several dimensions.""",1
"""Such campaigns often take the form of charity-linked promotions, whereby a firm donates a specific amount to a charitable cause when a customer takes up the promotion through a related purchase.""",,,,,,,"""Such campaigns often take the form of charity-linked promotions, whereby a firm donates a specific amount to a charitable cause when a customer takes up the promotion through a related purchase.""",1
"""Moderate turbulence reduces the value of flexibility by making supplier selection more difficult and increases the value of commitment by mitigating the status quo bias of integrated structures.""",,,,,,,"""Moderate turbulence reduces the value of flexibility by making supplier selection more difficult and increases the value of commitment by mitigating the status quo bias of integrated structures.""",1
"""Our results provide field-based evidence that PFP and participative goal setting affect the level and accuracy of goals, effects that are associated with both information exchange and with managers' incentives to influence goals.""",,,,,,,"""Our results provide field-based evidence that PFP and participative goal setting affect the level and accuracy of goals, effects that are associated with both information exchange and with managers' incentives to influence goals.""",1
"""We study how monetary policy affects the funding composition of the banking sector.""",,,,,,,"""We study how monetary policy affects the funding composition of the banking sector.""",1
"""This paper identifies a number of obstacles to international generalizability, and shows how they affect technical systems research and social systems research in different ways.""",,,,,,,"""This paper identifies a number of obstacles to international generalizability, and shows how they affect technical systems research and social systems research in different ways.""",1
