id,mnsc_paper_id,text,target,code1,code2
17181,mnsc.1120.1687,"However, the <b>productivity</b> effects are less clear-cut when participants have prior experience with the system, and, worse, a forced distribution becomes detrimental when workers have access to a simple option to sabotage each other.",productivity,27,29
1572,mnsc.8.4.516,Learning has the limited meaning of skill acquisition as measured by increased <b>productivity</b>.,productivity,22,23
12981,mnsc.49.4.416.14419,"Using hierarchical log-linear modeling, we establish the link between problem-solving moves and <b>productivity</b>.",productivity,30,38
13498,mnsc.1040.0324,The average public accounting firm experienced a <b>productivity</b> growth of 9.5% between 1995 and 1999.,productivity,22,31
1810,mnsc.9.4.574,"In general, the findings are consistent with earlier studies showing strong, positive relationship between participation in planning on the one hand and morale and <b>productivity</b> on the other.",productivity,26,21
20114,mnsc.2016.2632,"To answer these questions, we decompose the channels of upstream <b>productivity</b> spillovers—from customers to suppliers—by developing a structural econometric model on a sample of approximately 22,500 supply chain dyads.",productivity,11,37
5569,mnsc.23.2.171,All current aggregate planning models are suitable only for constant <b>productivity</b> situations.,productivity,40,13
24020,mnsc.2021.3958,We show that the interplay between <b>productivity</b> volatility risk and ambiguity aversion is important for pricing variance risk in returns.,productivity,28,19
1588,mnsc.9.1.9,developed a simple model to analyze the implications of a growing research organization and the resulting increase of internal mail on the creative <b>productivity</b> of the individual worker of that organization.,productivity,40,25
735,mnsc.5.3.270,Effectiveness (the “pay-off”) will be measured in terms of the effect of the system and organization on the <b>productivity</b> of labor.,productivity,40,18
720,mnsc.5.3.217,"Useful insights were gained, particularly on the acceleration in idea production and <b>productivity</b> and on the character of the innovation cycle and its relation to employment, investment, and profitability.",productivity,19,27
13252,mnsc.1030.0195,"We therefore apply the Kernel density-estimation technique and demonstrate that for firms with organizational change, the entire labor <b>productivity</b> distribution shifts significantly out to the right if workplace reorganization takes place, indicating that workplace reorganization induces an increase in labor <b>productivity</b> that is attributable to complementarities between the various input factors and workplace reorganization.",productivity,13,32
12481,mnsc.47.4.532.9832,"The change in the sampling level is indeterminate because, while increased sampling <b>productivity</b> means that firms have incentives to increase sampling, the increase in the equilibrium goodwill level indirectly reduces the marginal <b>productivity</b> of sampling, thus reducing the incentives to sample.",productivity,19,14
2813,mnsc.13.2.B1,The key to servicing this large volume of advertising is likely to be the management sciences which will provide the basis for increased <b>productivity</b> in the advertising industry.,productivity,32,28
11847,mnsc.45.4.466,"More detailed tests suggest that inventory reductions stimulated gains in <b>productivity</b>: On average, each 10% reduction in inventory led to about a 1% gain in labor <b>productivity</b>, with a lag of about one year.",productivity,26,22
11601,mnsc.44.4.548,"The present work grew out of a study conducted at a County Assistance Office in Western Pennsylvania and addresses three important <b>productivity</b> questions in organizational <b>productivity</b>: (1) How should a given number of workers be allocated across related tasks, (2) will the arrangement that seems best for <b>productivity</b> increase or decrease equity within the office, and (3) what is the optimal size of an office?To answer question 1, we model the administrative office as a closed queueing network.",productivity,27,38
23126,mnsc.2019.3558,We study the consequences of misreporting in settings where ambiguity-averse investors face uncertainty about two aspects of the firm: its <b>productivity</b> and the weakness of its reporting system.,productivity,25,15
19503,mnsc.2015.2278,"Announcement abnormal returns and executive tenure duration are both higher for matches with higher estimated <b>productivity</b>, suggesting mutual benefits for both the firms and the managers from assortative matching.",productivity,24,14
11846,mnsc.45.4.466,We find that firms increased their <b>productivity</b> rank during periods of substantial inventory reduction.,productivity,18,14
22579,mnsc.2019.3472,Habits are critical to generate positive real premia by altering the comovement of real rates and <b>productivity</b> shocks.,productivity,13,38
14865,mnsc.1070.0804,We show how different combinations of these contract features enable client firms to better manage vendors when there is information asymmetry about worker <b>productivity</b>.,productivity,19,24
21645,mnsc.2018.3172,We find that high-expertise managers make two types of bonus decisions: (1) keep a smaller share of the bonus pool than what they are entitled to retain and (2) allocate the remainder to subordinates more evenly after adjusting for the underlying heterogeneity in their <b>productivity</b>.,productivity,13,14
14333,mnsc.1060.0670,"Investment in information technology (IT) is an important driver of economic growth and <b>productivity</b> in the United States and other developed countries, but as yet it is not shown to be a significant driver in developing countries.",productivity,14,30
13249,mnsc.1030.0195,We develop and estimate a model for labor <b>productivity</b> and firms' decision to reorganize workplaces that allows workplace reorganization to affect any parameter of the labor <b>productivity</b> equation.,productivity,30,38
9396,mnsc.37.1.1,"In this research we develop an estimable production frontier model of software maintenance, using a new methodology that allows the simultaneous estimation of both the production frontier and the effects of several <b>productivity</b> factors.",productivity,38,40
2703,mnsc.12.4.B120,The paper contains first a discussion of the nature and meaning of <b>productivity</b> index numbers.,productivity,25,22
13245,mnsc.1030.0195,"This paper analyzes the relationship between investment in information and communication technologies (ICT), non-ICT investment, labor <b>productivity</b>, and workplace reorganization.",productivity,18,31
4303,mnsc.18.2.B36,Twenty-eight operating and design characteristics are represented permitting their impact on steady state <b>productivity</b> to be estimated.,productivity,13,15
6569,mnsc.26.3.297,Our approach to modeling the <b>productivity</b> of computer systems is based on conventional economic theory and empirical analysis.,productivity,23,38
5570,mnsc.23.2.171,"The current research integrates (a) and (b) into a single computer-based model which permits the development of aggregate-output plans in the face of changing, <b>productivity</b>.",productivity,16,11
3967,mnsc.17.2.B131,"This activity-<b>productivity</b> study applied quantitative methods to a large random sample of the highest volume and lowest volume performers engaged in nonmanual, nonrepetitive activities.",productivity,11,33
2708,mnsc.12.4.B120,"While the report covers only 5 Federal, civilian organizations, the author concludes that <b>productivity</b> measurement could usefully be extended to most other civilian agencies, and to some functions of the Department of Defense, particularly in the supply and maintenance areas.",productivity,15,12
14962,mnsc.1080.0913,"We also find that the contribution of an academic scientist to a firm's patent <b>productivity</b> is decreasing with the depth of their scientifically oriented human capital, all else constant.",productivity,19,31
2706,mnsc.12.4.B120,The applicability of <b>productivity</b> measurement systems to Federal Government organizations is discussd.,productivity,31,40
20112,mnsc.2016.2632,"Exactly how does <b>productivity</b> spill over across this type of relationship (i.e., through which mechanisms)?",productivity,14,27
1090,mnsc.7.1.80,"The relation between <b>productivity</b>, efficiency and size of a technical organization as affected by internally generated and circulated paperwork is analyzed.",productivity,33,31
17180,mnsc.1120.1687,They find that <b>productivity</b> is significantly higher under a forced distribution by approximately 6% to 12%.,productivity,27,11
10973,mnsc.42.4.541,"As a result, we could assess several econometric models of the contribution of IS to firm-level <b>productivity</b>.",productivity,35,13
5567,mnsc.23.2.171,"Research reports of others indicate that many manufacturing organizations experience (a) the probiem of aggregate planning, and (b) experience systematic <b>productivity</b> changes throughout the “life” of a product.",productivity,31,19
17286,mnsc.1120.1624,"However, the <b>productivity</b> effects are less clear cut when participants have prior experience with the baseline condition.",productivity,33,12
21179,mnsc.2017.2977,"For firms with an ecosystem of complements, a 1% increase in the use of nonpecuniary OSS leads to an increase in value-added <b>productivity</b> of between 0.002% and 0.008%.",productivity,24,23
10878,mnsc.42.3.350,"Finally, the study provides partial support for the hypothesis that management policies, in both operations and human resource areas, can facilitate the absorption of higher levels of product variety, i.e. that “lean production” plants are capable of handling higher levels of product variety with less adverse effect on total labor <b>productivity</b> than traditional “mass production” plants.",productivity,15,25
21404,mnsc.2017.3018,"We consider a variant whereby marginal <b>productivity</b> decreases with fatigue, and we examine the optimal management of fatigue and <b>productivity</b> under various scenarios.",productivity,33,23
20111,mnsc.2016.2632,Firms in a vertical relationship are likely to affect each other’s <b>productivity</b>.,productivity,31,23
13500,mnsc.1040.0324,Firms that were early movers into management advisory services (MAS) and those that emphasized growth in MAS over growth in the traditional audit and tax services enjoyed significantly higher <b>productivity</b> growth than their peers.,productivity,13,39
22852,mnsc.2019.3545,"We propose a macroeconomic model in which variation in the level of trust leads to higher innovation, investment, and <b>productivity</b> growth.",productivity,23,35
8860,mnsc.34.4.469,"This study analyzed state-level university-based efforts to increase manufacturing <b>productivity</b> through the transfer of technologies, such as robotics and microcomputers, to manufacturing establishments.",productivity,25,37
12983,mnsc.49.4.416.14419,"Because the formulation of tasks is performed by users, knowledge management initiatives must target users as well as support providers to have the desired impact on <b>productivity</b>.",productivity,18,20
13447,mnsc.1040.0298,"It yields an alternative metric of inventory <b>productivity</b>, adjusted inventory turnover, which empirically adjusts inventory turnover for changes in gross margin, capital intensity, and sales surprise, and can be applied in performance analysis and managerial decision making.",productivity,30,33
13499,mnsc.1040.0324,We find support for the hypothesis that technical progress rather than an improvement in relative efficiency was the reason for this <b>productivity</b> growth.,productivity,31,32
10967,mnsc.42.4.541,"The “<b>productivity</b> paradox” of information systems (IS) is that, despite enormous improvements in the underlying technology, the benefits of IS spending have not been found in aggregate output statistics.",productivity,20,33
12545,mnsc.48.1.90.14271,We develop an intermediate input model to examine the extent to which the growth in licensing is due to the <b>productivity</b> of observable inputs or driven by a change in the propensity of faculty and administrators to engage in commercializing university research.,productivity,30,37
21176,mnsc.2017.2977,This study measures the firm-level <b>productivity</b> impact of nonpecuniary (free) OSS and finds a positive and significant value-added return for firms that have an ecosystem of complementary capabilities.,productivity,13,39
12979,mnsc.49.4.416.14419,"In this paper, we examine the process of technical support work and the role of knowledge in enhancing the <b>productivity</b> of such work.",productivity,22,30
13809,mnsc.1050.0479,"In contrast to the large and rapidly growing literature on information technology (IT) investments and firm <b>productivity</b>, we know very little about the role of personal computers in business creation.",productivity,35,40
16085,mnsc.1110.1332,"New Plant Venture Performance Differences Among Incumbent, Diversifying, and Entrepreneurial Firms: The Impact of Industry Learning Intensity (p. 549)Natarajan BalasubramanianWhich start-up environment is more conducive to firm <b>productivity</b>: existing firms, spinoffs of existing firms, or entrepreneurial entrants?",productivity,27,19
16536,mnsc.1110.1379,"Our findings suggest that organizations can improve employee <b>productivity</b> by changing the likelihood of feedback, the reference group used to calculate relative performance, and the informativeness of the feedback message.",productivity,17,37
13751,mnsc.1050.0470,"In this paper, we take a broader approach to the issue, combining a “<b>productivity</b>” and an “adoption” approach, while including a search for contextual variables in the firm’s strategy that affects complementarity.",productivity,12,34
12480,mnsc.47.4.532.9832,"Another finding is that when we have a positive change in the factors that increase sampling <b>productivity</b>, steady-state goodwill stock and sales will increase, but equilibrium sampling can either increase or decrease.",productivity,22,34
23110,mnsc.2019.3561,"In equilibrium, endogenous technology choice can counter a persistent negative <b>productivity</b> shock with an increase in investment.",productivity,18,37
10978,mnsc.42.4.541,"We conclude that the <b>productivity</b> paradox disappeared by 1991, at least in our sample of firms.",productivity,37,32
18930,mnsc.2014.2089,We provide field experimental evidence of the effects of monitoring in a context where <b>productivity</b> is multidimensional and only one dimension is monitored and incentivized.,productivity,13,37
13777,mnsc.1050.0444,"DEA produces easy-to-understand efficiency measures, which allow for improved <b>productivity</b> benchmarking.",productivity,36,26
12547,mnsc.48.1.90.14271,Nonparametric programming techniques are applied to survey data from 64 universities to calculate total factor <b>productivity</b> (TFP) growth in each stage.,productivity,11,30
12548,mnsc.48.1.90.14271,"To examine the sources of TFP growth, the <b>productivity</b> analysis is augmented by survey evidence from businesses who license-in university inventions.",productivity,32,27
18168,mnsc.2013.1764,"Moreover, we find that the <b>productivity</b> benefits of locating near other IT-intensive firms can primarily be explained by the mobility of technical workers within the region.",productivity,28,14
11600,mnsc.44.4.548,"A major issue facing such administrative offices is how they should be organized to maximize <b>productivity</b> when short-term reassignment of workers is difficult, costly, or severely restricted.",productivity,14,38
23127,mnsc.2019.3558,"We show that the joint presence of these two sources of uncertainty distorts the firm’s investment choices in opposing ways, leading to overinvestment by large firms (to signal <b>productivity</b>) and underinvestment by small firms (to signal that the reporting system is not weak).",productivity,35,38
13246,mnsc.1030.0195,Firms are assumed to reorganize workplaces if the <b>productivity</b> gains arising from workplace reorganization exceed the associated reorganization costs.,productivity,35,35
11604,mnsc.44.4.548,"Changes in the size of the office that improve <b>productivity</b> may have lower equity; conversely, changes in the size of the office that improve equity may have lower <b>productivity</b>.",productivity,25,24
14630,mnsc.1070.0818,The performance measures of interest are call accuracy and call duration because these are two important factors that influence customer satisfaction and <b>productivity</b> in call center operations.,productivity,14,24
11843,mnsc.45.4.466,The literature on JIT production suggests a causal link between work-in-process inventory and manufacturing <b>productivity</b>.,productivity,23,21
20086,mnsc.2016.2610,"Using behavioral experiments, we study the impact of queue design on worker <b>productivity</b> in service systems that involve human servers.",productivity,30,26
18166,mnsc.2013.1764,We find that firms derive significant <b>productivity</b> benefits from the IT investments of other firms from which they hire IT labor.,productivity,23,25
19730,mnsc.2015.2357,"Thus, even in this human capital–intensive profession, where capabilities and education are important assets, and <b>productivity</b> differentials can be observed, women earn less than men, though they contribute to the development of high-quality inventions as much as men do.",productivity,20,37
18776,mnsc.2013.1875,A country's human capital and economic <b>productivity</b> increasingly depend on the Internet as a result of its expanding role in providing information and communications.,productivity,39,17
24128,mnsc.2021.4032,I show that network position is crucial for <b>productivity</b> by facilitating access to nonredundant knowledge.,productivity,19,30
13752,mnsc.1050.0470,"Analysis of contextual variables is not only interesting per se, but also improves the <b>productivity</b> test for the existence of complementarity.",productivity,39,31
11325,mnsc.43.4.503,"In the long run TQM can increase <b>productivity</b>, raise quality, and lower costs.",productivity,25,30
10877,mnsc.42.3.350,"However, an intermediate type of product variety, here called parts complexity, was found to have a persistent negative impact on <b>productivity</b>.",productivity,28,11
15848,mnsc.1110.1316,"Researchers have quantified the organizational cost of change such as employee attrition, and hiring and firing costs and training costs from loss of <b>productivity</b> as an organization changes direction.",productivity,24,18
13253,mnsc.1030.0195,"By contrast, firms without organizational change would not have realized significant <b>productivity</b> gains if they had reorganized workplaces.",productivity,28,33
4709,mnsc.20.2.240,"In general, planning did not lead to greater researcher satisfaction, but it did lead to greater <b>productivity</b> for the researcher.",productivity,30,39
14335,mnsc.1060.0670,This research note examines the factors that influence IT investment in developed and developing countries to determine how greater investment might be stimulated to achieve <b>productivity</b> gains.,productivity,20,36
19586,mnsc.2015.2352,"We find that <b>productivity</b> improves when multiple generations of the firm’s primary product family are produced concurrently, reflecting the firm’s ability to augment and transfer knowledge from older to newer product generations.",productivity,34,19
6567,mnsc.26.3.297,"The specific goals of the project have been: (1) to develop a theory or conceptual framework for <b>productivity</b> measurement of the computing and information services function, (2) to pilot test the theory through empirical analysis at field sites, and (3) to evaluate the results and report the conclusions (success and failure).",productivity,17,24
21484,mnsc.2017.3005,"Without the possibility of implementation failure, the opportunity to invest in IT hurts firms’ profits because the <b>productivity</b> gains are competed away.",productivity,31,22
